domain,group,id,Q_lin,Q_resolved,conflict_type,excerpt
arxiv,top,BkiUgNvxK4sA-46xQ4Ws,0.9113386916616402,0.8986138623995155,无强冲突,"\section{Introduction} The crowded cores of globular clusters (GCs) are very efficient ``furnaces'' for generating exotic objects, such as cataclysmic variables (CVs), low-mass X-ray binaries (LMXBs),  millisecond pulsars (MSPs) and blue stragglers (see \citealt{bailyn95}).  Most of these objects ar"
arxiv,top,BkiUdZDxK02iP5rWKp4R,0.9039982448965882,0.8914350777875955,无强冲突,"\section{Introduction} Complex systems, sometimes natural, sometimes man-made, surround us at all scales as an integral part of everyday life, ranging from neural networks at small scales to global pandemics or the world wide web at large scales~\cite{newman2003structure}. To satisfy most basic need"
arxiv,top,BkiUcOvxK0fkXPSOpQRF,0.9001535144358719,0.8861498343455971,无强冲突,"\section{Introduction}  While there have been significant recent advances in deep reinforcement learning \citep{Mnih2015,Silver2016} and control \citep{Lillicrap2015,Levine2016}, most efforts train a network that performs a fixed sequence of computations. Here we introduce an alternative in which an"
arxiv,top,BkiUa5U4ubnjoqNEqD9W,0.9034850190611265,0.8804383788200676,无强冲突,"\section{Introduction}  Our Solar System is currently immersed in a warm, partially ionized, diffuse interstellar medium (DISM), called the local interstellar cloud (LIC), consisting of gas and dust. The motion of the Sun relative to the LIC results in a unidirectional wind of the LIC materials towa"
arxiv,top,BkiUdT45qhDBXmAdOoor,0.9035534405627235,0.8803299504618423,无强冲突,"\section{Introduction} 	 Computer experiments are widely used in both scientific researches and industrial productions to simulate real-world problems with complex computer codes \cite{sacks1989designs, fang2005design}. Different from physical experiments, computer experiments are deterministic and "
arxiv,top,BkiUeJLxK0iCl36cXtaR,0.9005366121345472,0.878997080573647,无强冲突,"\section{Introduction} Listeners are able to perceive speech as a coherent sequence of distinct sounds, despite the fact that speech is spoken in a continuous stream with coarticulatory effects in which the realization of phonemes is influenced by adjacent phonemes \cite{roach_phonetic_1990, white_s"
arxiv,top,BkiUd504ubnjorQ5r-d9,0.900332843458476,0.8787341456353178,无强冲突,"\section{Introduction and physics motivation} The Standard Model (SM) consistently describes all known microscopic physics phenomena. However, the observed neutrino oscillations, the existence of Dark Matter and the matter-antimatter asymmetry in the Universe provide established experimental evidenc"
arxiv,top,BkiUdlPxaJiQn7ar4CH2,0.8998026357791342,0.8775604502766366,无强冲突,"\section{Introduction} \label{sec:intro} While being the most abundant massive particles in the universe, neutrinos still retain many of their mysteries. Neutrino studies have come a long way since 1930 when Pauli, in his famous letter  ""Dear radioactive ladies and gentlemen"", proposed the neutrino "
arxiv,top,BkiUd6zxK5YsWPOogO3I,0.8889934556621241,0.8771895822280183,无强冲突,"\section{Introduction}\label{sec:introduction} The introduction of the agile methods has shifted the focus from the individual software developer and instead highlighted team, collaboration, and communication \citep{cockburn2001agilepeoplefactor}. In software engineering organizations today, well-fu"
arxiv,top,BkiUeD7xK0-nUGYe6azR,0.8935308825454412,0.8743170618792107,无强冲突,\section*{Plain Language Summary}  The weather station on board the InSight lander on Mars includes a very sensitive barometer to measure atmospheric pressure all the time. We use pressure records by InSight during more than a Martian year to study how the fast (from seconds to minutes) changes in t
arxiv,top,BkiUdtM241xg966rPKd7,0.8947083247787245,0.8724727139676214,无强冲突,"\section{Introduction} Ever since the original experiments by Fabry and P\'erot, optical cavities \cite{Siegman86,Kogelnik66} have been useful tools for accurately measuring distances and creating frequency-specific light sources \cite{Perot99}. Nowadays their uses are versatile, and they can be fou"
arxiv,top,BkiUf8825V5jgwLP9awH,0.8938368179207465,0.8722161411026426,无强冲突,"\section{Introduction} Types are an important part of modern programming languages, as one of the prominent abstraction mechanisms over data\footnote{Even in ``\emph{untyped}'' languages (Python, say) types are present and relevant.}. This is so obvious that we seldom realise that the concept of typ"
arxiv,top,BkiUbl05qU2Ap1mgSsFV,0.8908744872083302,0.8721767040779518,无强冲突,"\section{Introduction\\} Entangled photons are an essential resource in emerging quantum information processing and secure quantum communications \cite{steane_quantum_1998, slussarenko_photonic_2019}. In the context of quantum cryptography, entanglement-based quantum key distribution (QKD) has recen"
arxiv,top,BkiUbJzxaJJQnNCyem5B,0.8957091767050125,0.8711226432234621,无强冲突,"\section{Introduction} \label{sec:intro}  Structures formed by the collective gravity of numerous low-mass bodies are well-studied on many astrophysical scales, for example, stellar bar formation in galaxies \citep{Sellwood1993} and apsidally-aligned disks of stars orbiting supermassive black holes "
arxiv,top,BkiUdpQ5qoTDt6skX0ZJ,0.8963985779482279,0.8709115104836976,无强冲突,"\section{Introduction} Asymptotic Giant Branch (AGB) stars represent a decisive part within the evolution of low and intermediate mass stars. These high luminosity, cool objects contribute significantly to the metal content of their host galaxy by various nucleosynthesis processes in their interior,"
