domain,indicator,dimension,rho_with_loo_consensus,trust,w_base,w_adapted
github,fineweb_edu,D1语义价值,0.43101082788028217,0.7155054139401411,0.047305448661040764,0.05109533015979512
github,qurater,D1语义价值,0.6078169562859438,0.803908478142972,0.05550068468747734,0.06735379478368099
github,modernbert_reasoning,D1语义价值,0.6013955340703575,0.8006977670351787,0.07181012090814844,0.08679833510957322
github,modernbert_professionalism,D1语义价值,0.3779901246442156,0.6889950623221078,0.03982049396014078,0.04141711770436956
github,fluency_en,D2语言规范,0.27837263961230263,0.6391863198061514,0.05584602749284886,0.053886115405133876
github,modernbert_readability,D2语言规范,0.5535498034977682,0.7767749017488841,0.05160009891199131,0.06050661238027795
github,modernbert_cleanliness,D2语言规范,0.45840360063315894,0.7292018003165794,0.07015548137342917,0.07722651925049014
github,ad_en,D2语言规范,-0.031206372766188557,0.48439681361690573,0.03720422377232216,0.027205119957568125
github,dsir_books,D3参考域相似,0.763677003406484,0.881838501703242,0.03629762701511837,0.04831972009192954
github,dsir_wiki,D3参考域相似,0.7626856412043957,0.8813428206021978,0.036370895761137355,0.04839004076853091
github,dsir_math,D3参考域相似,0.7739830047774375,0.8869915023887187,0.03662858966189583,0.04904523004228741
github,rps_doc_word_count,D4统计启发式,0.41974245929534315,0.7098712296476716,0.03719644930820284,0.03986008126235153
github,rps_doc_num_sentences,D4统计启发式,0.2423008296312744,0.6211504148156372,0.03954878721737538,0.037084042442651656
github,rps_doc_unigram_entropy,D4统计启发式,0.5344044947314719,0.767202247365736,0.04618899225628855,0.053494049225514866
github,rps_doc_frac_unique_words,D4统计启发式,0.15966507252045092,0.5798325362602255,0.04252756541004486,0.03722461564728417
github,rps_doc_frac_no_alph_words,D4统计启发式,-0.050911591657697396,0.4745442041711513,0.04638192501938049,0.033226344426805686
github,rps_doc_frac_chars_top_2gram,D4统计启发式,-0.005656827981965915,0.49717158600901706,0.037617887990399126,0.028233052053321384
github,rps_doc_frac_chars_top_3gram,D4统计启发式,-0.12877223173500668,0.4356138841324967,0.037726474254726944,0.0248087597262517
github,rps_lines_uppercase_letter_fraction,D4统计启发式,-0.09995425591773369,0.45002287204113317,0.04663130600223113,0.031678841104869813
github,rps_lines_ending_with_terminal_punctution_mark,D4统计启发式,0.042422515585639795,0.5212112577928198,0.04987641560958649,0.039243356207206204
github,rps_lines_numerical_chars_fraction,D4统计启发式,-0.09540111482914565,0.4522994425854272,0.041697267496355085,0.028470216382780265
github,rps_doc_mean_word_length,D4统计启发式,0.30156037594069307,0.6507801879703465,0.03606723722985864,0.03543270586732588
arxiv,fineweb_edu,D1语义价值,0.1796730720240502,0.5898365360120251,0.047305448661040764,0.04774544730093042
arxiv,qurater,D1语义价值,0.46711327821912535,0.7335566391095627,0.05550068468747734,0.06966603972119391
arxiv,modernbert_reasoning,D1语义价值,0.25376434547362237,0.6268821727368112,0.07181012090814844,0.07703014363272544
arxiv,modernbert_professionalism,D1语义价值,-0.08338781705036262,0.4583060914748187,0.03982049396014078,0.03122852002733988
arxiv,fluency_en,D2语言规范,0.3809873379087682,0.6904936689543841,0.05584602749284886,0.06598437643410801
arxiv,modernbert_readability,D2语言规范,0.33202113324050536,0.6660105666202527,0.05160009891199131,0.058805884124642556
arxiv,modernbert_cleanliness,D2语言规范,0.1569280776985094,0.5784640388492547,0.07015548137342917,0.06944278095001082
arxiv,ad_en,D2语言规范,-0.133597167903653,0.4332014160481735,0.03720422377232216,0.027578538384654502
arxiv,dsir_books,D3参考域相似,0.4213848315912626,0.7106924157956314,0.03629762701511837,0.0441416989631802
arxiv,dsir_wiki,D3参考域相似,0.4178117384777748,0.7089058692388874,0.036370895761137355,0.04411961351351266
arxiv,dsir_math,D3参考域相似,0.4722939127461019,0.7361469563730509,0.03662858966189583,0.04613960242566977
arxiv,rps_doc_word_count,D4统计启发式,0.08707795622924801,0.543538978114624,0.03719644930820284,0.03459563518283092
arxiv,rps_doc_num_sentences,D4统计启发式,0.057627934801181745,0.5288139674005908,0.03954878721737538,0.03578699378243442
arxiv,rps_doc_unigram_entropy,D4统计启发式,0.0835172672189285,0.5417586336094643,0.04618899225628855,0.04281869807532157
arxiv,rps_doc_frac_unique_words,D4统计启发式,-0.09153959784486315,0.4542302010775684,0.04252756541004486,0.03305488555040545
arxiv,rps_doc_frac_no_alph_words,D4统计启发式,0.3371989288290274,0.6685994644145137,0.04638192501938049,0.053064481372240895
arxiv,rps_doc_frac_chars_top_2gram,D4统计启发式,-0.00963366765462818,0.49518316617268593,0.037617887990399126,0.03187494260775265
arxiv,rps_doc_frac_chars_top_3gram,D4统计启发式,0.19469366442109892,0.5973468322105495,0.037726474254726944,0.03856220996627511
arxiv,rps_lines_uppercase_letter_fraction,D4统计启发式,-0.2726811856291321,0.363659407185434,0.04663130600223113,0.029017603054117574
arxiv,rps_lines_ending_with_terminal_punctution_mark,D4统计启发式,0.05063432615154046,0.5253171630757703,0.04987641560958649,0.04483384185208341
arxiv,rps_lines_numerical_chars_fraction,D4统计启发式,0.17177713565068964,0.5858885678253448,0.041697267496355085,0.041803413866452324
arxiv,rps_doc_mean_word_length,D4统计启发式,0.059833113214104124,0.5299165566070521,0.03606723722985864,0.032704649212117576
