C,g_form,N,D,Q,lambda_N,lambda_D,lambda_Q,rel_gap_N_D,lamQ_over_lamN,budget_slack,Q_status
1e+19,exp,439519343.40754414,1696910911.4115393,0.9841870059772586,2.4646381393311353e-20,2.4646374134354723e-20,2.46463736938617e-20,2.9452423516337193e-07,0.9999996876032415,2.220446049250313e-16,内点(应有 λ_Q≈λ_N)
1e+19,power,479683123.78415316,1428079110.4680316,1.0,2.561229956786833e-20,2.5612301271757478e-20,3.281799176075537e-20,6.652620716680804e-08,1.2813371823093493,0.0,上界(应有 λ_Q≥λ_N)
1e+19,log,271395642.77613866,4122316672.0715513,1.0,1.901367533830427e-20,1.901367567494462e-20,1.1528789496132982e-19,1.7705169711175337e-08,6.063419770772827,0.0,上界(应有 λ_Q≥λ_N)
1e+19,filter,311659296.691868,3441856220.8439565,0.8616864474444703,2.1770352413610387e-20,2.1770351453113737e-20,2.177035437508846e-20,4.4119480979044415e-08,1.0000000900985908,0.0,内点(应有 λ_Q≈λ_N)
1e+22,exp,4732522368.410889,296079948121.0716,1.0,5.6863834283106476e-24,5.686381627818837e-24,4.062989384830203e-23,3.166321500294222e-07,7.145120331847312,0.0,上界(应有 λ_Q≥λ_N)
1e+22,power,4802476638.56319,288103150585.9846,1.0,5.730186227780648e-24,5.730185755356903e-24,5.056758220152648e-23,8.244474551944296e-08,8.824771166488205,0.0,上界(应有 λ_Q≥λ_N)
1e+22,log,4298483175.697906,354134726983.51324,1.0,5.407437763185016e-24,5.407438184887166e-24,4.507910704840002e-22,7.798557625708338e-08,83.36500394939014,0.0,上界(应有 λ_Q≥λ_N)
1e+22,filter,5155276674.575496,257801029603.33945,0.9656163996280809,6.042458282759808e-24,6.042457229674313e-24,6.042459339871671e-24,1.7428097068243064e-07,1.0000001749473166,0.0,内点(应有 λ_Q≈λ_N)
1e+24,exp,34050710693.405,4510752072809.3,1.0,2.628203606069087e-26,2.628204761927397e-26,1.2987848829278287e-24,4.3979024562163074e-07,49.41720953158481,0.0,上界(应有 λ_Q≥λ_N)
1e+24,power,34135758452.077106,4489853957041.229,1.0,2.6316376967606046e-26,2.631637620770828e-26,1.5793097583341942e-24,2.8875470482573e-08,60.01243105303721,1.1102230246251565e-16,上界(应有 λ_Q≥λ_N)
1e+24,log,33561674002.491966,4633851827997.248,1.0,2.608390291809288e-26,2.6083897373702927e-26,1.6826302753129872e-23,2.125598293907414e-07,645.0837823605933,0.0,上界(应有 λ_Q≥λ_N)
1e+24,filter,36488387740.25843,3998128511208.3667,0.9869253422569043,2.741780914088756e-26,2.7417809053103164e-26,2.7417794659039037e-26,3.201729089400233e-09,0.9999994718086901,0.0,内点(应有 λ_Q≈λ_N)
