数据集,指标,指标中文,类型,方向,缺失数,缺失率
A1_sample,dsir_books,DSIR图书相似度,标量型,1,0,0.0
A1_sample,dsir_wiki,DSIR百科相似度,标量型,1,0,0.0
A1_sample,dsir_math,DSIR数学相似度,标量型,1,0,0.0
A1_sample,rps_doc_word_count,文档词数,标量型,0,0,0.0
A1_sample,rps_doc_num_sentences,文档句数,标量型,0,0,0.0
A1_sample,rps_doc_unigram_entropy,一元词熵,标量型,1,0,0.0
A1_sample,rps_doc_frac_unique_words,唯一词占比,标量型,1,0,0.0
A1_sample,rps_doc_frac_no_alph_words,非字母词占比,标量型,-1,0,0.0
A1_sample,rps_doc_frac_chars_top_2gram,最高频2-gram字符占比,标量型,-1,0,0.0
A1_sample,rps_doc_frac_chars_top_3gram,最高频3-gram字符占比,标量型,-1,0,0.0
A1_sample,rps_lines_uppercase_letter_fraction,大写字母行占比,标量型,-1,0,0.0
A1_sample,rps_lines_ending_with_terminal_punctution_mark,句末标点行占比,标量型,1,0,0.0
A1_sample,rps_lines_numerical_chars_fraction,数字字符行占比,标量型,-1,0,0.0
A1_sample,rps_doc_mean_word_length,平均词长,标量型,0,0,0.0
A1_sample,fluency_en,英语流畅度,列表型,1,0,0.0
A1_sample,modernbert_cleanliness,ModernBERT干净度,列表型,1,0,0.0
A1_sample,modernbert_readability,ModernBERT可读性,列表型,1,0,0.0
A1_sample,modernbert_reasoning,ModernBERT推理性,列表型,1,0,0.0
A1_sample,modernbert_professionalism,ModernBERT专业性,列表型,1,0,0.0
A1_sample,qurater,QuRater质量等级,列表型,1,0,0.0
A1_sample,ad_en,英文广告含量,列表型,-1,0,0.0
A1_sample,fineweb_edu,FineWeb教育价值,列表型,1,0,0.0
A2_arxiv,dsir_books,DSIR图书相似度,标量型,1,0,0.0
A2_arxiv,dsir_wiki,DSIR百科相似度,标量型,1,0,0.0
A2_arxiv,dsir_math,DSIR数学相似度,标量型,1,0,0.0
A2_arxiv,rps_doc_word_count,文档词数,标量型,0,0,0.0
A2_arxiv,rps_doc_num_sentences,文档句数,标量型,0,0,0.0
A2_arxiv,rps_doc_unigram_entropy,一元词熵,标量型,1,0,0.0
A2_arxiv,rps_doc_frac_unique_words,唯一词占比,标量型,1,0,0.0
A2_arxiv,rps_doc_frac_no_alph_words,非字母词占比,标量型,-1,0,0.0
A2_arxiv,rps_doc_frac_chars_top_2gram,最高频2-gram字符占比,标量型,-1,0,0.0
A2_arxiv,rps_doc_frac_chars_top_3gram,最高频3-gram字符占比,标量型,-1,0,0.0
A2_arxiv,rps_lines_uppercase_letter_fraction,大写字母行占比,标量型,-1,0,0.0
A2_arxiv,rps_lines_ending_with_terminal_punctution_mark,句末标点行占比,标量型,1,0,0.0
A2_arxiv,rps_lines_numerical_chars_fraction,数字字符行占比,标量型,-1,0,0.0
A2_arxiv,rps_doc_mean_word_length,平均词长,标量型,0,0,0.0
A2_arxiv,fluency_en,英语流畅度,列表型,1,0,0.0
A2_arxiv,modernbert_cleanliness,ModernBERT干净度,列表型,1,0,0.0
A2_arxiv,modernbert_readability,ModernBERT可读性,列表型,1,0,0.0
A2_arxiv,modernbert_reasoning,ModernBERT推理性,列表型,1,0,0.0
A2_arxiv,modernbert_professionalism,ModernBERT专业性,列表型,1,0,0.0
A2_arxiv,qurater,QuRater质量等级,列表型,1,0,0.0
A2_arxiv,ad_en,英文广告含量,列表型,-1,0,0.0
A2_arxiv,fineweb_edu,FineWeb教育价值,列表型,1,0,0.0
A3_github,dsir_books,DSIR图书相似度,标量型,1,0,0.0
A3_github,dsir_wiki,DSIR百科相似度,标量型,1,0,0.0
A3_github,dsir_math,DSIR数学相似度,标量型,1,0,0.0
A3_github,rps_doc_word_count,文档词数,标量型,0,0,0.0
A3_github,rps_doc_num_sentences,文档句数,标量型,0,0,0.0
A3_github,rps_doc_unigram_entropy,一元词熵,标量型,1,0,0.0
A3_github,rps_doc_frac_unique_words,唯一词占比,标量型,1,0,0.0
A3_github,rps_doc_frac_no_alph_words,非字母词占比,标量型,-1,0,0.0
A3_github,rps_doc_frac_chars_top_2gram,最高频2-gram字符占比,标量型,-1,0,0.0
A3_github,rps_doc_frac_chars_top_3gram,最高频3-gram字符占比,标量型,-1,0,0.0
A3_github,rps_lines_uppercase_letter_fraction,大写字母行占比,标量型,-1,0,0.0
A3_github,rps_lines_ending_with_terminal_punctution_mark,句末标点行占比,标量型,1,0,0.0
A3_github,rps_lines_numerical_chars_fraction,数字字符行占比,标量型,-1,0,0.0
A3_github,rps_doc_mean_word_length,平均词长,标量型,0,0,0.0
A3_github,fluency_en,英语流畅度,列表型,1,0,0.0
A3_github,modernbert_cleanliness,ModernBERT干净度,列表型,1,0,0.0
A3_github,modernbert_readability,ModernBERT可读性,列表型,1,0,0.0
A3_github,modernbert_reasoning,ModernBERT推理性,列表型,1,0,0.0
A3_github,modernbert_professionalism,ModernBERT专业性,列表型,1,0,0.0
A3_github,qurater,QuRater质量等级,列表型,1,0,0.0
A3_github,ad_en,英文广告含量,列表型,-1,0,0.0
A3_github,fineweb_edu,FineWeb教育价值,列表型,1,0,0.0
