配方域,映射层级,映射方法,Q_点估计,Q_方法B迁移,Q_方法A回归佐证,Q_语义先验,Q_迁移离散度,Q_域内标准差,Q_合成不确定度,Q_有效样本数
arxiv,direct,direct 直接映射 → arxiv,0.7568790621871924,0.7568790621871924,0.6798620322647011,0.757,0.0,0.10790229816028765,0.10790229816028765,1419
freelaw,inferred,"L3 近邻迁移 → commoncrawl(w=0.65), c4(w=0.21), arxiv(w=0.14)",0.6129960871062571,0.6129960871062571,0.5043063336706404,0.62,0.059166820389090206,0.1818452668523128,0.19122869479119425,0
nih_exporter,inferred,"L3 近邻迁移 → commoncrawl(w=0.43), c4(w=0.43), arxiv(w=0.13)",0.6052942754620853,0.6052942754620853,0.5565885995766684,0.6,0.06066231268179103,0.18203111096879082,0.19187298283092286,0
pubmed_central,inferred,"L3 近邻迁移 → commoncrawl(w=0.40), arxiv(w=0.32), c4(w=0.28)",0.6401915274026174,0.6401915274026174,0.5802682919193359,0.64,0.08138724639606398,0.16866816278799934,0.18727742259603178,0
wikipedia_en,near_direct,near_direct 直接映射 → wikipedia,0.36300221452585957,0.36300221452585957,0.43310541566157945,0.363,0.0,0.19129748961856857,0.19129748961856857,10000
dm_mathematics,inferred,"L3 近邻迁移 → commoncrawl(w=0.36), c4(w=0.32), arxiv(w=0.32)",0.6382024629451606,0.6382024629451606,0.3639693140327167,0.63,0.08180976217181338,0.16898697877567734,0.18774833203610594,0
github,direct,direct 直接映射 → github,0.41071380255007073,0.41071380255007073,0.33599872739736814,0.411,0.0,0.17357847203890875,0.17357847203890875,10000
philpapers,inferred,"L3 近邻迁移 → commoncrawl(w=0.53), c4(w=0.26), arxiv(w=0.21)",0.6229234694655446,0.6229234694655446,0.6498987654661312,0.62,0.07026173745837837,0.17682133435404923,0.19026953522152873,0
stackexchange,direct,direct 直接映射 → stackexchange,0.6160563529701564,0.6160563529701564,0.5932825229209977,0.616,0.0,0.14800627946563566,0.14800627946563566,10000
enron_emails,inferred,"L3 近邻迁移 → c4(w=0.49), commoncrawl(w=0.28), stackexchange(w=0.23)",0.5871109475560465,0.5871109475560465,0.3737420413661872,0.58,0.020088339082644936,0.18158041621756574,0.18268822874187524,0
gutenberg_pg_19,near_direct,near_direct 直接映射 → book,0.3659941002833515,0.3659941002833515,0.640833782367127,0.366,0.0,0.18371598713430753,0.18371598713430753,171
pile_cc,near_direct,near_direct 直接映射 → commoncrawl,0.596662840483352,0.596662840483352,0.5019620608131914,0.597,0.0,0.19155295771544673,0.19155295771544673,9640
ubuntu_irc,inferred,"L3 近邻迁移 → commoncrawl(w=0.44), arxiv(w=0.33), c4(w=0.23)",0.6423828077071655,0.6423828077071655,0.34344037195275096,0.6,0.08066782454209259,0.16840321858093238,0.18672691810441025,0
europarl,inferred,"L3 近邻迁移 → commoncrawl(w=0.46), c4(w=0.31), arxiv(w=0.23)",0.6240646910028211,0.6240646910028211,0.5079353562031811,0.62,0.07307176038884826,0.17557223581975823,0.1901712180038663,0
hackernews,inferred,"L3 近邻迁移 → commoncrawl(w=0.46), c4(w=0.38), arxiv(w=0.16)",0.6120766765690769,0.6120766765690769,0.43731812257396946,0.6,0.06549836955708481,0.17990746803859717,0.19145948258233467,0
pubmed_abstracts,inferred,"L3 近邻迁移 → c4(w=0.45), commoncrawl(w=0.42), arxiv(w=0.13)",0.6044711138281349,0.6044711138281349,0.5408674272875574,0.6,0.06031628627410825,0.18218896845162524,0.19191371658994955,0
uspto_backgrounds,inferred,"L3 近邻迁移 → commoncrawl(w=0.46), c4(w=0.45), arxiv(w=0.09)",0.5976080661918177,0.5976080661918177,0.5517547681393583,0.6,0.051060497006374966,0.18508870712206132,0.19200261419744843,0
