indicator,dimension,type,sd_balanced,sum_1_minus_r,entropy_e,w_entropy,w_critic,w_combined,w_structural_equal
fineweb_edu,D1语义价值,pos,0.2097010828524521,16.433033958565865,0.8721476171123997,0.04543694584400059,0.04015797895348621,0.04354301090133761,0.0625
qurater,D1语义价值,pos,0.23880659136844332,15.07467901006411,0.8716557108921199,0.04561176242376533,0.0419515300555907,0.04459028989978848,0.0625
modernbert_reasoning,D1语义价值,pos,0.324760861251726,15.537187480223295,0.8436514075455164,0.055564099531766116,0.058801649988768426,0.05826662502647861,0.0625
modernbert_professionalism,D1语义价值,pos,0.36516889035978795,20.560864766823595,0.9041566633709349,0.034061379205983504,0.08749607481347274,0.055648487701439285,0.0625
fluency_en,D2语言规范,pos,0.2993065841288683,16.492452336766824,0.873372862070429,0.04500151094989657,0.057524775198284576,0.05186435479181916,0.0625
modernbert_readability,D2语言规范,pos,0.25645166910660255,14.981835247383625,0.8610282220431048,0.049388623084351824,0.04477380143382753,0.0479350748996771,0.0625
modernbert_cleanliness,D2语言规范,pos,0.29556026030067295,14.238146990086316,0.8519255096812499,0.052623599541401715,0.0490402792478093,0.05178389452780364,0.0625
ad_en,D2语言规范,neg,0.1835735628624664,21.4727669905945,0.8867698248045662,0.04024041806701902,0.045935830258846434,0.04382631882584098,0.0625
dsir_books,D3参考域相似,pos,0.18971624172413218,14.383348528711048,0.8567336798697414,0.050914843212195963,0.03179932774275803,0.041016551260437975,0.08333333333333333
dsir_wiki,D3参考域相似,pos,0.1889749424834991,14.349323068496952,0.8572723852344548,0.050723394872090516,0.031600143693421553,0.04081094504660123,0.08333333333333333
dsir_math,D3参考域相似,pos,0.1862274821439406,13.84041342814153,0.8588442076281071,0.05016479121243442,0.03003628777780172,0.039568592248633634,0.08333333333333333
rps_doc_word_count,D4统计启发式,interval,0.1897355538983854,17.95516416897457,0.8848770539458236,0.040913082315126144,0.03970009278888399,0.04108230734687401,0.022727272727272728
rps_doc_num_sentences,D4统计启发式,interval,0.1316944063157088,17.95511992915241,0.8824253675209282,0.04178437732581342,0.027555548557462697,0.03458911613098821,0.022727272727272728
rps_doc_unigram_entropy,D4统计启发式,pos,0.22779033430793943,14.804020768847073,0.8404960082405157,0.05668548424200304,0.03929781462450177,0.04811141132599499,0.022727272727272728
rps_doc_frac_unique_words,D4统计启发式,pos,0.21039760101474808,21.37975207205461,0.8985175986803418,0.03606542380155863,0.05241998233525614,0.04432226251394857,0.022727272727272728
rps_doc_frac_no_alph_words,D4统计启发式,neg,0.14899054366885336,18.547267215192864,0.877989256745557,0.0433609089516317,0.03220268292545884,0.03809107095377643,0.022727272727272728
rps_doc_frac_chars_top_2gram,D4统计启发式,neg,0.1760693283908783,17.106423272756476,0.877702152811123,0.043462941668002304,0.03509912932502547,0.03981398942754595,0.022727272727272728
rps_doc_frac_chars_top_3gram,D4统计启发式,neg,0.17782180194891756,17.911599379184494,0.8777595394764582,0.043442547251049596,0.037116993926148395,0.04093285203527506,0.022727272727272728
rps_lines_uppercase_letter_fraction,D4统计启发式,neg,0.3046823278819759,21.095216508693394,0.9087137470903306,0.0324418554905218,0.07490049263828541,0.05024850514900862,0.022727272727272728
rps_lines_ending_with_terminal_punctution_mark,D4统计启发式,pos,0.3025007406797051,19.15337839396165,0.8331564699947155,0.05929385331782681,0.06751888363849781,0.06449787859186107,0.022727272727272728
rps_lines_numerical_chars_fraction,D4统计启发式,neg,0.18702651054677272,21.720206649390395,0.8879723411966947,0.03981306058684052,0.04733915983959372,0.04425384617782965,0.022727272727272728
rps_doc_mean_word_length,D4统计启发式,interval,0.1363067807430257,17.458346489646782,0.8789904550356756,0.04300509710472055,0.027731540236818533,0.03520261521703959,0.022727272727272728
