point,domain_i,domain_j,p_i,p_j,sigma,MRS_i_over_j
p_ref,arxiv,freelaw,0.1094680155884291,0.0895313218675953,-7.715198973714887,1.018650671278871
p*,arxiv,freelaw,0.0834351287582568,0.0733992483439408,-5.990389844573311,1.0144946522039053
p_ref,arxiv,nih_exporter,0.1094680155884291,0.0058899993708469,-1.0474976412699946,1.6121358703221944
p*,arxiv,nih_exporter,0.0834351287582568,0.0089060235470232,-1.9987001971328586,1.1520790495497488
p_ref,arxiv,pubmed_central,0.1094680155884291,0.1171161131911714,-8.549987062850043,1.0427653308084992
p*,arxiv,pubmed_central,0.0834351287582568,0.0979163295359779,-6.6450148353227885,1.0303643467637156
p_ref,arxiv,wikipedia_en,0.1094680155884291,0.0767974332462365,-9.42396023468523,1.0770460108092894
p*,arxiv,wikipedia_en,0.0834351287582568,0.0745206064974201,-7.866442608959329,1.0423139425765957
p_ref,arxiv,dm_mathematics,0.1094680155884291,0.0268830894510259,-0.48560379453075575,2.400673909526625
p*,arxiv,dm_mathematics,0.0834351287582568,0.0448152736693459,-1.8156964480257753,1.2082906864774419
p_ref,arxiv,github,0.1094680155884291,0.1152733336192701,-8.634329565202345,1.0093630652758676
p*,arxiv,github,0.0834351287582568,0.0790460862008018,-5.960341532317241,1.029458874368238
p_ref,arxiv,philpapers,0.1094680155884291,0.0054111255585165,17.95869682296937,1.1690713151808927
p*,arxiv,philpapers,0.0834351287582568,0.0044458356139571,16.56010207708852,1.1131787395095858
p_ref,arxiv,stackexchange,0.1094680155884291,0.0999208133866591,-6.74182895778977,1.1476270162942521
p*,arxiv,stackexchange,0.0834351287582568,0.1294347138939774,-6.929818261415339,1.0643190263132436
p_ref,arxiv,enron_emails,0.1094680155884291,0.0022591816301773,5.665499357567401,1.0359658750132854
p*,arxiv,enron_emails,0.0834351287582568,0.0015731864056306,5.449794670758063,0.9339764641775028
p_ref,arxiv,gutenberg_pg_19,0.1094680155884291,0.0483168927472502,-8.439275845614862,1.0474290000017203
p*,arxiv,gutenberg_pg_19,0.0834351287582568,0.0384426250751941,-6.477716178614633,1.0426668347670378
p_ref,arxiv,pile_cc,0.1094680155884291,0.1163173355471893,-11.02425704674579,1.1172651474325448
p*,arxiv,pile_cc,0.0834351287582568,0.1495991771877273,-8.619616357769862,1.0615033241963596
p_ref,arxiv,ubuntu_irc,0.1094680155884291,0.0198499537179258,-0.5192680400065484,2.60611406305864
p*,arxiv,ubuntu_irc,0.0834351287582568,0.0412334696901143,-2.5210030125750666,1.2022760155111611
p_ref,arxiv,europarl,0.1094680155884291,0.0131905705768079,16.08327288447398,0.9393407424065936
p*,arxiv,europarl,0.0834351287582568,0.0056850989469004,7.933020540751037,0.8221412037470032
p_ref,arxiv,hackernews,0.1094680155884291,0.0116619852119038,-1.8978719178757846,1.7638771749245807
p*,arxiv,hackernews,0.0834351287582568,0.0370865525074324,-7.018786294794457,1.2155041067072554
p_ref,arxiv,pubmed_abstracts,0.1094680155884291,0.0667829932263871,-11.60972512704889,1.0762947962952119
p*,arxiv,pubmed_abstracts,0.0834351287582568,0.0641841018028109,-9.302936230230996,1.041341232632563
p_ref,arxiv,uspto_backgrounds,0.1094680155884291,0.075329842062607,-10.616004671228703,1.0400080766965134
p*,arxiv,uspto_backgrounds,0.0834351287582568,0.0662765423234883,-8.35658903387747,1.0146374482901384
p_ref,freelaw,nih_exporter,0.0895313218675953,0.0058899993708469,-1.0535043677839366,1.5826189642600723
p*,freelaw,nih_exporter,0.0733992483439408,0.0089060235470232,-2.006619728657027,1.135618652150559
p_ref,freelaw,pubmed_central,0.0895313218675953,0.1171161131911714,-7.514740366553024,1.0236731395850878
p*,freelaw,pubmed_central,0.0733992483439408,0.0979163295359779,-6.0509914805874185,1.0156429553623914
p_ref,freelaw,wikipedia_en,0.0895313218675953,0.0767974332462365,-8.337886261688444,1.0573261680150914
p*,freelaw,wikipedia_en,0.0733992483439408,0.0745206064974201,-7.062230219211435,1.0274218206200056
p_ref,freelaw,dm_mathematics,0.0895313218675953,0.0268830894510259,-0.4952274105154574,2.3567195086738466
p*,freelaw,dm_mathematics,0.0733992483439408,0.0448152736693459,-1.8465520597578975,1.191027161998864
p_ref,freelaw,github,0.0895313218675953,0.1152733336192701,-7.565753553896721,0.9908824425636088
p*,freelaw,github,0.0733992483439408,0.0790460862008018,-5.555850119247307,1.0147504199571917
p_ref,freelaw,philpapers,0.0895313218675953,0.0054111255585165,19.031614680638597,1.1476665633697323
p*,freelaw,philpapers,0.0733992483439408,0.0044458356139571,17.373390097987443,1.0972741325854183
p_ref,freelaw,stackexchange,0.0895313218675953,0.0999208133866591,-6.267860524262136,1.1266148922804489
p*,freelaw,stackexchange,0.0733992483439408,0.1294347138939774,-6.206016350193954,1.04911250542435
p_ref,freelaw,enron_emails,0.0895313218675953,0.0022591816301773,5.73357779283834,1.0169981763352454
p*,freelaw,enron_emails,0.0733992483439408,0.0015731864056306,5.497778423446133,0.9206322203360231
p_ref,freelaw,gutenberg_pg_19,0.0895313218675953,0.0483168927472502,-7.795735324518802,1.0282514207610736
p*,freelaw,gutenberg_pg_19,0.0733992483439408,0.0384426250751941,-6.135533231132826,1.0277696708424544
p_ref,freelaw,pile_cc,0.0895313218675953,0.1163173355471893,-9.166888444435447,1.096808924721826
p*,freelaw,pile_cc,0.0733992483439408,0.1495991771877273,-7.340267546921684,1.0463370328176025
p_ref,freelaw,ubuntu_irc,0.0895313218675953,0.0198499537179258,-0.5264137276253074,2.558398218877899
p*,freelaw,ubuntu_irc,0.0733992483439408,0.0412334696901143,-2.53473946146473,1.1850984259989115
p_ref,freelaw,europarl,0.0895313218675953,0.0131905705768079,18.742088823092647,0.9221421718863569
p*,freelaw,europarl,0.0733992483439408,0.0056850989469004,8.29323126502345,0.8103948127877951
p_ref,freelaw,hackernews,0.0895313218675953,0.0116619852119038,-1.9110866319289805,1.7315820080991167
p*,freelaw,hackernews,0.0733992483439408,0.0370865525074324,-6.644119802451275,1.1981375200615143
p_ref,freelaw,pubmed_abstracts,0.0895313218675953,0.0667829932263871,-9.946832911849048,1.0565887076321965
p*,freelaw,pubmed_abstracts,0.0733992483439408,0.0641841018028109,-8.19063318181321,1.0264630083266932
p_ref,freelaw,uspto_backgrounds,0.0895313218675953,0.075329842062607,-9.157487806265696,1.0209663685695403
p*,freelaw,uspto_backgrounds,0.0733992483439408,0.0662765423234883,-7.465190643886602,1.0001407558787254
p_ref,nih_exporter,pubmed_central,0.0058899993708469,0.1171161131911714,-1.0464851287711403,0.64682223750787
p*,nih_exporter,pubmed_central,0.0089060235470232,0.0979163295359779,-1.9860193800480666,0.8943521255476339
p_ref,nih_exporter,wikipedia_en,0.0058899993708469,0.0767974332462365,-1.0640770056857891,0.6680863757432776
p*,nih_exporter,wikipedia_en,0.0089060235470232,0.0745206064974201,-2.037676733550763,0.9047243268454096
p_ref,nih_exporter,dm_mathematics,0.0058899993708469,0.0268830894510259,-0.7712818741497847,1.4891262912268286
p*,nih_exporter,dm_mathematics,0.0089060235470232,0.0448152736693459,-1.7664107329235321,1.0487914756801293
p_ref,nih_exporter,github,0.0058899993708469,0.1152733336192701,-1.0460851795802368,0.6261029754732401
p*,nih_exporter,github,0.0089060235470232,0.0790460862008018,-1.9985771768318028,0.8935661791355092
p_ref,nih_exporter,philpapers,0.0058899993708469,0.0054111255585165,-1.9175432554458036,0.7251692222115542
p*,nih_exporter,philpapers,0.0089060235470232,0.0044458356139571,-7.416530706405684,0.9662346867123693
p_ref,nih_exporter,stackexchange,0.0058899993708469,0.0999208133866591,-1.052347689430484,0.7118674284351061
p*,nih_exporter,stackexchange,0.0089060235470232,0.1294347138939774,-1.9665171087429392,0.9238246513806468
p_ref,nih_exporter,enron_emails,0.0058899993708469,0.0022591816301773,-3.9497266591062754,0.6426045683148541
p*,nih_exporter,enron_emails,0.0089060235470232,0.0015731864056306,16.399295000474474,0.8106878295742952
p_ref,nih_exporter,gutenberg_pg_19,0.0058899993708469,0.0483168927472502,-1.0875810115008644,0.6497150887117138
p*,nih_exporter,gutenberg_pg_19,0.0089060235470232,0.0384426250751941,-2.141138395523351,0.9050306358530944
p_ref,nih_exporter,pile_cc,0.0058899993708469,0.1163173355471893,-1.0506778672007273,0.6930341095935376
p*,nih_exporter,pile_cc,0.0089060235470232,0.1495991771877273,-1.970187334956345,0.9213806332223577
p_ref,nih_exporter,ubuntu_irc,0.0058899993708469,0.0198499537179258,-0.7522561565811675,1.616559814240591
p*,nih_exporter,ubuntu_irc,0.0089060235470232,0.0412334696901143,-1.901451448039984,1.0435707653750237
p_ref,nih_exporter,europarl,0.0058899993708469,0.0131905705768079,-1.3117247148729096,0.5826684708769995
p*,nih_exporter,europarl,0.0089060235470232,0.0056850989469004,-5.7914769629021805,0.7136152715113683
p_ref,nih_exporter,hackernews,0.0058899993708469,0.0116619852119038,-1.2057053654893182,1.0941243895107053
p*,nih_exporter,hackernews,0.0089060235470232,0.0370865525074324,-2.208206822675261,1.0550526955440203
p_ref,nih_exporter,pubmed_abstracts,0.0058899993708469,0.0667829932263871,-1.0729337231779088,0.667620401052244
p*,nih_exporter,pubmed_abstracts,0.0089060235470232,0.0641841018028109,-2.0774341323176455,0.9038800185104798
p_ref,nih_exporter,uspto_backgrounds,0.0058899993708469,0.075329842062607,-1.0644364103563857,0.6451119262600751
p*,nih_exporter,uspto_backgrounds,0.0089060235470232,0.0662765423234883,-2.0575084662556375,0.8807012406715279
p_ref,pubmed_central,wikipedia_en,0.1171161131911714,0.0767974332462365,-9.179897673861694,1.0328747791933308
p*,pubmed_central,wikipedia_en,0.0979163295359779,0.0745206064974201,-8.124388885713666,1.011597446913233
p_ref,pubmed_central,dm_mathematics,0.1171161131911714,0.0268830894510259,-0.4843663572966721,2.302218762552532
p*,pubmed_central,dm_mathematics,0.0979163295359779,0.0448152736693459,-1.77103463258115,1.1726829351894572
p_ref,pubmed_central,github,0.1171161131911714,0.1152733336192701,-8.360736826600215,0.9679676102131881
p*,pubmed_central,github,0.0979163295359779,0.0790460862008018,-6.020492999034156,0.9991212114449401
p_ref,pubmed_central,philpapers,0.1171161131911714,0.0054111255585165,17.997842756278082,1.1211259912855591
p*,pubmed_central,philpapers,0.0979163295359779,0.0044458356139571,16.176969930801103,1.0803738920178896
p_ref,pubmed_central,stackexchange,0.1171161131911714,0.0999208133866591,-6.579842539770248,1.1005611544492464
p*,pubmed_central,stackexchange,0.0979163295359779,0.1294347138939774,-7.124170069161143,1.0329540513083324
p_ref,pubmed_central,enron_emails,0.1171161131911714,0.0022591816301773,5.665450343177165,0.9934793998282029
