subtask,n,mean,p95,max
tracking_shuffled_objects_seven_objects,1860,0.17426451612903227,0.3041999999999998,0.412
tracking_shuffled_objects_five_objects,1860,0.2032225806451613,0.296,0.416
geometric_shapes,1860,0.32857311827956986,0.5401999999999999,0.684
tracking_shuffled_objects_three_objects,1860,0.32981720430107525,0.384,0.52
object_counting,1860,0.3408935483870968,0.524,0.732
logical_deduction_seven_objects,1860,0.36320860215053763,0.6081999999999999,0.744
temporal_sequences,1860,0.3924720430107527,0.96,1.0
logical_deduction_five_objects,1860,0.39400322580645164,0.632,0.82
salient_translation_error_detection,1860,0.4062881720430107,0.636,0.752
penguins_in_a_table,1860,0.4495174547061423,0.7054794520547946,0.8561643835616438
date_understanding,1860,0.4585913978494624,0.704,0.88
reasoning_about_colored_objects,1860,0.48047526881720437,0.832,0.908
web_of_lies,1860,0.5115301075268817,0.584,0.932
ruin_names,1860,0.5215892473118279,0.864,0.968
disambiguation_qa,1860,0.5301763440860215,0.7321999999999999,0.936
formal_fallacies,1860,0.5572817204301076,0.732,0.828
causal_judgement,1860,0.5781748030590536,0.6577540106951871,0.7433155080213903
movie_recommendation,1860,0.5790483870967741,0.816,0.996
logical_deduction_three_objects,1860,0.5840602150537634,0.916,0.98
navigate,1860,0.5849526881720428,0.72,0.836
snarks,1860,0.6025764165760541,0.8089887640449438,0.9269662921348315
hyperbaton,1860,0.6319935483870968,0.808,0.988
sports_understanding,1860,0.6800870967741937,0.848,0.948
boolean_expressions,1860,0.7639505376344087,0.908,0.96
