domain,reference_mean_mixture,trust_region_pmax,p_opt_quadratic,p_opt_log_share_M6,p_opt_ensemble_top100
arxiv,0.10946801558842917,0.961,2.3999143379230235e-15,0.057662382908884216,0.08343512875825686
freelaw,0.08953132186759533,0.993,0.04829716031578312,0.0561778733582947,0.07339924834394086
nih_exporter,0.005889999370846919,0.058,0.057999999999997914,0.01031190050222057,0.008906023547023264
pubmed_central,0.11711611319117145,0.999,0.03299304058515072,0.07704956519608067,0.09791632953597797
wikipedia_en,0.07679743324623653,0.762,2.698925751792244e-15,0.05846252664857274,0.07452060649742011
dm_mathematics,0.02688308945102594,0.2392392392392392,0.10113654767300578,0.05416012882081072,0.04481527366934596
github,0.11527333361927011,0.991,2.6525138791819002e-15,0.06452702127122442,0.0790460862008018
philpapers,0.005411125558516551,0.055055055055055056,0.05505505505504712,0.055055055055055056,0.004445835613957175
stackexchange,0.09992081338665915,0.998,0.10534562106140419,0.12185098755218712,0.12943471389397743
enron_emails,0.0022591816301773624,0.026026026026026026,0.02602602602601778,0.026026026026026026,0.001573186405630611
gutenberg_pg_19,0.04831689274725026,0.4044044044044044,1.5174654403061098e-15,0.032472117612877126,0.038442625075194144
pile_cc,0.1163173355471893,0.995,2.142964839550711e-15,0.12434345817581287,0.14959917718772733
ubuntu_irc,0.019849953717925813,0.177,0.013472196832491878,0.05432409908350832,0.04123346969011435
europarl,0.013190570576807994,0.11711711711711714,0.11711711711711624,0.0,0.005685098946900457
hackernews,0.01166198521190389,0.12012012012012012,0.12012012012011708,0.12012012012012012,0.03708655250743248
pubmed_abstracts,0.06678299322638713,0.5754245754245755,2.2794832737783668e-15,0.04572471779141788,0.06418410180281098
uspto_backgrounds,0.07532984206260705,0.6936127744510977,0.32243711494475125,0.04173201987689856,0.06627654232348834
