domain,source_path,sample_rows,sample_bytes_requested,avg_text_chars
arxiv,valid/arxiv-0-93015664.jsonl,1719,83886080,47031.44
dm_mathematics,valid/dm_mathematics-0-34933789.jsonl,1922,83886080,8194.0
enron_emails,valid/enron_emails-0-74209619.jsonl,1010,83886080,1618.63
europarl,valid/europarl-0-10512041.jsonl,157,83886080,51662.87
freelaw,valid/freelaw-0-47906234.jsonl,5100,83886080,15762.0
github,valid/github-0-46879694.jsonl,15117,83886080,5178.68
gutenberg_pg_19,valid/gutenberg_pg_19-0-46286437.jsonl,79,83886080,381179.59
hackernews,valid/hackernews-0-15369997.jsonl,944,83886080,5180.6
nih_exporter,valid/nih_exporter-0-31798400.jsonl,1884,83886080,2081.35
philpapers,valid/philpapers-0-97974906.jsonl,67,83886080,73524.07
pile_cc,valid/pile_cc-0-87769651.jsonl,18191,83886080,4523.03
pubmed_abstracts,valid/pubmed_abstracts-0-61011173.jsonl,29895,83886080,1330.45
pubmed_central,valid/pubmed_central-0-50789587.jsonl,2629,83886080,31267.95
stackexchange,valid/stackexchange-0-12054297.jsonl,30378,83886080,2171.4
ubuntu_irc,valid/ubuntu_irc-0-23934577.jsonl,16,83886080,225242.75
uspto_backgrounds,valid/uspto_backgrounds-0-69053226.jsonl,11415,83886080,4139.52
wikipedia_en,valid/wikipedia_en-0-88494638.jsonl,17511,83886080,2964.62
