特征,标准化系数
logp_arxiv,0.017940607954363967
logp_freelaw,0.00933044895376237
logp_nih_exporter,0.0021522269628584337
logp_pubmed_central,0.0015600033915230543
logp_wikipedia_en,-0.0054188191224618446
logp_dm_mathematics,0.06332597177354485
logp_github,0.00975332970867412
logp_philpapers,0.0030247758615376177
logp_stackexchange,0.008705219077664396
logp_enron_emails,-0.0017661493540193024
logp_gutenberg_pg_19,-0.0028909173409077844
logp_pile_cc,-0.00923297549508924
logp_ubuntu_irc,0.026642349760532376
logp_europarl,0.008236364718293344
logp_hackernews,-0.027393992687679544
logp_pubmed_abstracts,0.0005625437774855156
logp_uspto_backgrounds,0.00661499028188995
logp_arxiv*logp_freelaw,0.008068244807068291
logp_arxiv*logp_nih_exporter,-0.00016338621223242668
logp_arxiv*logp_pubmed_central,-0.03395365087101294
logp_arxiv*logp_wikipedia_en,-0.008784391643121304
logp_arxiv*logp_dm_mathematics,0.002564533666314827
logp_arxiv*logp_github,-0.023425559706136363
logp_arxiv*logp_philpapers,-0.0035917782163205087
logp_arxiv*logp_stackexchange,-0.045653749585924726
logp_arxiv*logp_enron_emails,0.0023457590799620346
logp_arxiv*logp_gutenberg_pg_19,-0.001559988586734496
logp_arxiv*logp_pile_cc,-0.007960092215262293
logp_arxiv*logp_ubuntu_irc,-0.0064464595369116
logp_arxiv*logp_europarl,0.010046712994536033
logp_arxiv*logp_hackernews,-0.005669800079483856
logp_arxiv*logp_pubmed_abstracts,-0.006489910645514985
logp_arxiv*logp_uspto_backgrounds,-0.000651818047308992
logp_freelaw*logp_nih_exporter,0.010292708046060011
logp_freelaw*logp_pubmed_central,-0.0007997750072644902
logp_freelaw*logp_wikipedia_en,-0.00710495137349141
logp_freelaw*logp_dm_mathematics,-0.012970111407936847
logp_freelaw*logp_github,-0.012677182265761908
logp_freelaw*logp_philpapers,0.003334539328291912
logp_freelaw*logp_stackexchange,-0.00018005805754627013
logp_freelaw*logp_enron_emails,0.003010469240151894
logp_freelaw*logp_gutenberg_pg_19,0.006495651253574264
logp_freelaw*logp_pile_cc,0.018549021496997976
logp_freelaw*logp_ubuntu_irc,-0.002787499585219103
logp_freelaw*logp_europarl,-0.0003423310532650438
logp_freelaw*logp_hackernews,-0.0031980067307366446
logp_freelaw*logp_pubmed_abstracts,-0.012042819925435391
logp_freelaw*logp_uspto_backgrounds,-0.0012983080076204717
logp_nih_exporter*logp_pubmed_central,0.0026515275956809567
logp_nih_exporter*logp_wikipedia_en,0.015051357369219195
logp_nih_exporter*logp_dm_mathematics,-0.022092143218515308
logp_nih_exporter*logp_github,0.0008771508125639538
logp_nih_exporter*logp_philpapers,-0.0014805073824481728
logp_nih_exporter*logp_stackexchange,0.0015802529154257112
logp_nih_exporter*logp_enron_emails,0.010457435483776378
logp_nih_exporter*logp_gutenberg_pg_19,0.008448184598209195
logp_nih_exporter*logp_pile_cc,-0.004076374373225663
logp_nih_exporter*logp_ubuntu_irc,-0.014091367720234862
logp_nih_exporter*logp_europarl,-0.007393341631774653
logp_nih_exporter*logp_hackernews,0.0031939399176136828
logp_nih_exporter*logp_pubmed_abstracts,-0.008235453373409612
logp_nih_exporter*logp_uspto_backgrounds,0.015033630936789596
logp_pubmed_central*logp_wikipedia_en,0.0024600256344961963
logp_pubmed_central*logp_dm_mathematics,-0.004850462099763614
logp_pubmed_central*logp_github,-0.01376955106418988
logp_pubmed_central*logp_philpapers,-0.0002564523348039735
logp_pubmed_central*logp_stackexchange,-0.02863092400082754
logp_pubmed_central*logp_enron_emails,-0.0029934619196421743
logp_pubmed_central*logp_gutenberg_pg_19,-0.006787402251152602
logp_pubmed_central*logp_pile_cc,-0.0008611162269110129
logp_pubmed_central*logp_ubuntu_irc,-0.005263008586336964
logp_pubmed_central*logp_europarl,-0.0031139085259913202
logp_pubmed_central*logp_hackernews,-0.010624158149533405
logp_pubmed_central*logp_pubmed_abstracts,-0.017926233809716162
logp_pubmed_central*logp_uspto_backgrounds,0.010537506767137163
logp_wikipedia_en*logp_dm_mathematics,0.0007134136976969796
logp_wikipedia_en*logp_github,-0.005675695029326629
logp_wikipedia_en*logp_philpapers,0.003721815573704884
logp_wikipedia_en*logp_stackexchange,-0.004107399430215574
logp_wikipedia_en*logp_enron_emails,-0.001234466962774742
logp_wikipedia_en*logp_gutenberg_pg_19,0.0019171601440990498
logp_wikipedia_en*logp_pile_cc,0.018697628784383954
logp_wikipedia_en*logp_ubuntu_irc,-0.0001590421550051284
logp_wikipedia_en*logp_europarl,0.005327338396454474
logp_wikipedia_en*logp_hackernews,0.008864670050184372
logp_wikipedia_en*logp_pubmed_abstracts,0.008767183332357674
logp_wikipedia_en*logp_uspto_backgrounds,-0.00017127097555527313
logp_dm_mathematics*logp_github,-0.017747678791792683
logp_dm_mathematics*logp_philpapers,-0.019191222237351858
logp_dm_mathematics*logp_stackexchange,-0.016016253514970078
logp_dm_mathematics*logp_enron_emails,-0.010566052441872534
logp_dm_mathematics*logp_gutenberg_pg_19,0.002563976672365749
logp_dm_mathematics*logp_pile_cc,-0.007945514730730675
logp_dm_mathematics*logp_ubuntu_irc,-0.023479238928730294
logp_dm_mathematics*logp_europarl,-0.006849440574362545
logp_dm_mathematics*logp_hackernews,-0.00904024924866122
logp_dm_mathematics*logp_pubmed_abstracts,-0.010601725841328333
logp_dm_mathematics*logp_uspto_backgrounds,-0.008829637763423815
logp_github*logp_philpapers,-0.0015197458691715293
logp_github*logp_stackexchange,-0.06360524266657339
logp_github*logp_enron_emails,-0.01129865485886121
logp_github*logp_gutenberg_pg_19,-0.0026411201147377335
logp_github*logp_pile_cc,-0.0005909101651545429
logp_github*logp_ubuntu_irc,-0.004635423859790776
logp_github*logp_europarl,-0.0016624714384206648
logp_github*logp_hackernews,-0.0036928159178709454
logp_github*logp_pubmed_abstracts,-0.0012610127348250868
logp_github*logp_uspto_backgrounds,0.0064347686140202
logp_philpapers*logp_stackexchange,-0.0008399508284812514
logp_philpapers*logp_enron_emails,-0.004190117262862052
logp_philpapers*logp_gutenberg_pg_19,0.01729118961492071
logp_philpapers*logp_pile_cc,0.02607316319490845
logp_philpapers*logp_ubuntu_irc,-0.009084098599938466
logp_philpapers*logp_europarl,-0.013086316697374575
logp_philpapers*logp_hackernews,-0.004960469117862888
logp_philpapers*logp_pubmed_abstracts,0.01605088167590968
logp_philpapers*logp_uspto_backgrounds,0.0010192723443601965
logp_stackexchange*logp_enron_emails,0.00980076436962744
logp_stackexchange*logp_gutenberg_pg_19,0.0054092011139729584
logp_stackexchange*logp_pile_cc,0.01335426423901261
logp_stackexchange*logp_ubuntu_irc,-0.02273797444290323
logp_stackexchange*logp_europarl,0.005235125003564191
logp_stackexchange*logp_hackernews,0.004186411285880341
logp_stackexchange*logp_pubmed_abstracts,0.0018307291013337085
