指标,指标中文,指标族,类型,方向,压缩/变换方式,归一化区间(1%-99%)
dsir_books,DSIR图书相似度,DSIR重要性,标量型,越高越好,原值,"[-150507.0909, -181.3567]"
dsir_wiki,DSIR百科相似度,DSIR重要性,标量型,越高越好,原值,"[-150439.2921, -180.9602]"
dsir_math,DSIR数学相似度,DSIR重要性,标量型,越高越好,原值,"[-98001.9859, -175.7308]"
rps_doc_word_count,文档词数,文本统计,标量型,区间型(log+双侧塌陷),原值,"[7.0000, 17947.1600]"
rps_doc_num_sentences,文档句数,文本统计,标量型,区间型(log+双侧塌陷),原值,"[1.0000, 1310.5800]"
rps_doc_unigram_entropy,一元词熵,文本统计,标量型,越高越好,原值,"[1.7918, 6.4569]"
rps_doc_frac_unique_words,唯一词占比,文本统计,标量型,越高越好,原值,"[13.1374, 100.0000]"
rps_doc_frac_no_alph_words,非字母词占比,文本统计,标量型,越低越好(1-x补转换),原值,"[16.9003, 96.6149]"
rps_doc_frac_chars_top_2gram,最高频2-gram字符占比,文本统计,标量型,越低越好(1-x补转换),原值,"[0.0000, 21.0000]"
rps_doc_frac_chars_top_3gram,最高频3-gram字符占比,文本统计,标量型,越低越好(1-x补转换),原值,"[0.0000, 21.0000]"
rps_lines_uppercase_letter_fraction,大写字母行占比,文本统计,标量型,越低越好(1-x补转换),原值,"[1.2955, 53.2313]"
rps_lines_ending_with_terminal_punctution_mark,句末标点行占比,文本统计,标量型,越高越好,原值,"[0.0000, 100.0000]"
rps_lines_numerical_chars_fraction,数字字符行占比,文本统计,标量型,越低越好(1-x补转换),原值,"[0.0000, 17.3647]"
rps_doc_mean_word_length,平均词长,文本统计,标量型,区间型(log+双侧塌陷),原值,"[4.0562, 19.0893]"
fluency_en,英语流畅度,分类器打分,列表型,越高越好,2维 → 对数几率均值,"[-0.2314, 0.4404] (元素)"
modernbert_cleanliness,ModernBERT干净度,分类器打分,列表型,越高越好,6维 → max-softmax期望等级,"[0.4703, 1.0000] (元素)"
modernbert_readability,ModernBERT可读性,分类器打分,列表型,越高越好,6维 → max-softmax期望等级,"[0.3350, 0.9934] (元素)"
modernbert_reasoning,ModernBERT推理性,分类器打分,列表型,越高越好,6维 → max-softmax期望等级,"[0.3701, 1.0000] (元素)"
modernbert_professionalism,ModernBERT专业性,分类器打分,列表型,越高越好,6维 → max-softmax期望等级,"[0.4130, 1.0000] (元素)"
qurater,QuRater质量等级,分类器打分,列表型,越高越好,4维 → max-softmax期望等级,"[0.3565, 0.9946] (元素)"
ad_en,英文广告含量,分类器打分,列表型,越低越好(1-x补转换),2维 → 对数几率均值,"[-0.2290, 0.4766] (元素)"
fineweb_edu,FineWeb教育价值,分类器打分,列表型,越高越好,1维 → 对数几率均值,"[0.0622, 3.3257] (元素)"
