model_name,n_layers,n_heads,d_model,vocab_size,max_position_embeddings,training_data_TB,N_est_B,L_over_Lcrit,k(L)=6(1+L/Lcrit),attn_share_in_train+attn,training_tokens(T)
EleutherAI/pythia-70m,6,8,512,50257,2048,0.3,0.044605952,0.06826666666666667,6.4096,0.06390414378432352,0.3
EleutherAI/pythia-160m,12,12,768,50257,2048,0.3,0.123532032,0.06826666666666667,6.4096,0.06390414378432352,0.3
EleutherAI/pythia-410m,24,16,1024,50257,2048,0.3,0.353453056,0.06826666666666667,6.4096,0.06390414378432352,0.3
EleutherAI/pythia-1b,16,8,2048,50257,2048,0.3,0.908232704,0.06826666666666667,6.4096,0.06390414378432352,0.3
EleutherAI/pythia-1.4b,24,16,2048,50257,2048,0.3,1.310885888,0.06826666666666667,6.4096,0.06390414378432352,0.3
EleutherAI/pythia-2.8b,32,32,2560,50257,2048,0.3,2.64524032,0.06826666666666667,6.4096,0.06390414378432352,0.3
EleutherAI/pythia-6.9b,32,32,4096,50257,2048,0.3,6.648303616,0.06826666666666667,6.4096,0.06390414378432352,0.3
EleutherAI/pythia-12b,36,40,4096,50257,2048,0.3,7.453609984,0.06826666666666667,6.4096,0.06390414378432352,0.3
meta-llama/Llama-2-7b-hf,32,32,4096,32000,4096,2.0,6.573522944,0.13653333333333334,6.8192,0.12013139371187236,2.0
meta-llama/Llama-2-13b-hf,40,40,5120,32000,4096,2.0,12.746752,0.13653333333333334,6.8192,0.12013139371187236,2.0
meta-llama/Llama-2-70b-hf,80,64,8192,32000,4096,2.0,64.68665344,0.13653333333333334,6.8192,0.12013139371187236,2.0
meta-llama/Meta-Llama-3-8B,32,32,4096,128256,8192,15.0,6.96778752,0.2730666666666667,7.638400000000001,0.21449518223711772,15.0
meta-llama/Meta-Llama-3-70B,80,64,8192,128256,8192,15.0,65.475182592,0.2730666666666667,7.638400000000001,0.21449518223711772,15.0
meta-llama/Llama-3.1-8B,32,32,4096,128256,131072,15.0,6.96778752,4.369066666666667,32.2144,0.8137478891427437,15.0
mistralai/Mistral-7B-v0.1,32,32,4096,32000,32768,8.0,6.573522944,1.0922666666666667,12.5536,0.5220494519500383,8.0
mistralai/Mixtral-8x7B-v0.1,32,32,4096,32000,32768,8.0,6.573522944,1.0922666666666667,12.5536,0.5220494519500383,8.0
Qwen/Qwen2-0.5B,24,14,896,151936,32768,12.0,0.367345664,1.0922666666666667,12.5536,0.5220494519500383,12.0
Qwen/Qwen2-1.5B,28,16,1536,151936,32768,12.0,1.026097152,1.0922666666666667,12.5536,0.5220494519500383,12.0
Qwen/Qwen2-7B,32,28,3584,151936,32768,12.0,5.477040128,1.0922666666666667,12.5536,0.5220494519500383,12.0
Qwen/Qwen2.5-0.5B,24,14,896,151936,32768,18.0,0.367345664,1.0922666666666667,12.5536,0.5220494519500383,18.0
Qwen/Qwen2.5-1.5B,28,16,1536,151936,32768,18.0,1.026097152,1.0922666666666667,12.5536,0.5220494519500383,18.0
Qwen/Qwen2.5-7B,28,28,3584,151936,32768,18.0,4.86047744,1.0922666666666667,12.5536,0.5220494519500383,18.0
Qwen/Qwen2.5-14B,40,40,5120,151936,32768,18.0,13.36082432,1.0922666666666667,12.5536,0.5220494519500383,18.0
Qwen/Qwen2.5-32B,64,40,5120,151936,32768,18.0,20.91057152,1.0922666666666667,12.5536,0.5220494519500383,18.0
Qwen/Qwen2.5-72B,80,64,8192,151936,32768,18.0,65.669169152,1.0922666666666667,12.5536,0.5220494519500383,18.0
google/gemma-2-2b,26,8,2304,256128,8192,2.0,2.246344704,0.2730666666666667,7.638400000000001,0.21449518223711772,2.0
google/gemma-2-9b,42,16,3584,256128,8192,8.0,7.391870976,0.2730666666666667,7.638400000000001,0.21449518223711772,8.0
google/gemma-2-27b,46,32,4608,256128,8192,13.0,12.901220352,0.2730666666666667,7.638400000000001,0.21449518223711772,13.0
google/gemma-7b,28,16,3072,256000,8192,6.0,3.957325824,0.2730666666666667,7.638400000000001,0.21449518223711772,6.0
microsoft/phi-2,32,32,2560,51200,2048,1.4,2.6476544,0.06826666666666667,6.4096,0.06390414378432352,1.4
microsoft/Phi-3-mini-4k-instruct,32,32,3072,32064,4096,3.3,3.722379264,0.13653333333333334,6.8192,0.12013139371187236,3.3
microsoft/Phi-3-small-8k-instruct,32,32,4096,100352,8192,7.0,6.853492736,0.2730666666666667,7.638400000000001,0.21449518223711772,7.0
microsoft/Phi-3-medium-4k-instruct,40,40,5120,32064,4096,10.0,12.74707968,0.13653333333333334,6.8192,0.12013139371187236,10.0
01-ai/Yi-6B,32,32,4096,64000,4096,3.0,6.704594944,0.13653333333333334,6.8192,0.12013139371187236,3.0
01-ai/Yi-34B,48,56,7168,64000,4096,3.0,30.053761024,0.13653333333333334,6.8192,0.12013139371187236,3.0
tiiuae/falcon-7b,32,71,4544,65024,2048,1.5,8.22427648,0.06826666666666667,6.4096,0.06390414378432352,1.5
tiiuae/falcon-40b,60,232,8192,65024,2048,1.5,48.851058688,0.06826666666666667,6.4096,0.06390414378432352,1.5
cerebras/Cerebras-GPT-111M,10,10,768,50257,2048,2.05,0.109376256,0.06826666666666667,6.4096,0.06390414378432352,2.05
cerebras/Cerebras-GPT-256M,18,16,1024,50257,2048,2.05,0.277955584,0.06826666666666667,6.4096,0.06390414378432352,2.05
cerebras/Cerebras-GPT-590M,18,18,1536,50257,2048,2.05,0.586802688,0.06826666666666667,6.4096,0.06390414378432352,2.05
cerebras/Cerebras-GPT-1.3B,24,24,2048,50257,2048,2.05,1.310885888,0.06826666666666667,6.4096,0.06390414378432352,2.05
cerebras/Cerebras-GPT-2.7B,32,32,2560,50257,2048,2.05,2.64524032,0.06826666666666667,6.4096,0.06390414378432352,2.05
cerebras/Cerebras-GPT-6.7B,32,32,4096,50257,2048,2.05,6.648303616,0.06826666666666667,6.4096,0.06390414378432352,2.05
cerebras/Cerebras-GPT-13B,40,40,5120,50257,2048,2.05,12.84022784,0.06826666666666667,6.4096,0.06390414378432352,2.05
deepseek-ai/deepseek-llm-7b-base,30,30,4096,102021,4096,2.0,6.457675776,0.13653333333333334,6.8192,0.12013139371187236,2.0
