domain,reference_mean_mixture,trust_region_pmax,p_opt_quadratic,p_opt_log_share_M6,p_opt_ensemble_top100
arxiv,0.10946801558842917,0.961,4.907475280022087e-16,0.057662387393474304,0.08343512875825686
freelaw,0.08953132186759533,0.993,0.04829707019290429,0.05617787743368028,0.07339924834394086
nih_exporter,0.005889999370846919,0.058,0.05799999999999981,0.010311901622588682,0.008906023547023264
pubmed_central,0.11711611319117145,0.999,0.032992998646847245,0.07704957615170542,0.09791632953597794
wikipedia_en,0.07679743324623653,0.762,2.3999639075429954e-16,0.05846253247108291,0.07452060649742011
dm_mathematics,0.02688308945102594,0.2392392392392392,0.10113653937823139,0.054160128113465274,0.044815273669345956
github,0.11527333361927011,0.991,2.5566833735773675e-16,0.06452701650980146,0.0790460862008018
philpapers,0.005411125558516551,0.055055055055055056,0.055055055055054286,0.055055055055055056,0.004445835613957175
stackexchange,0.09992081338665915,0.998,0.10534563318388351,0.12185098580527823,0.12943471389397743
enron_emails,0.0022591816301773624,0.026026026026026026,0.026026026026025068,0.026026026026026026,0.001573186405630611
gutenberg_pg_19,0.04831689274725026,0.4044044044044044,1.4596471393603832e-16,0.032472115764703345,0.038442625075194144
pile_cc,0.1163173355471893,0.995,2.0081652517982714e-16,0.12434344126781895,0.14959917718772733
ubuntu_irc,0.019849953717925813,0.177,0.013472233158699772,0.05432410144209487,0.04123346969011435
europarl,0.013190570576807994,0.11711711711711714,0.117117117117117,0.0,0.005685098946900457
hackernews,0.01166198521190389,0.12012012012012012,0.12012012012011969,0.12012012012012012,0.03708655250743248
pubmed_abstracts,0.06678299322638713,0.5754245754245755,2.086524980144854e-16,0.045724705631118925,0.06418410180281098
uspto_backgrounds,0.07532984206260705,0.6936127744510977,0.3224372063992462,0.041732029191972005,0.06627654232348834
