ind_i,ind_j,dim_i,dim_j,conflict_rate_balanced,lift_vs_independence,spearman,rate_github,rate_arxiv
rps_lines_numerical_chars_fraction,rps_doc_mean_word_length,D4统计启发式,D4统计启发式,0.3342498980661191,2.673999184528953,-0.24966576474775348,0.2802671875613491,0.38823260857159164
rps_doc_word_count,rps_lines_numerical_chars_fraction,D4统计启发式,D4统计启发式,0.32399710941060134,2.5919768752848107,-0.3118595396300017,0.2582207782009502,0.38977344062089825
rps_doc_word_count,rps_doc_frac_chars_top_3gram,D4统计启发式,D4统计启发式,0.31746750161713977,2.539740012937118,-0.433829002423568,0.5733587891161804,0.061576214118587
rps_doc_word_count,rps_doc_frac_chars_top_2gram,D4统计启发式,D4统计启发式,0.2919680969510385,2.335744775608308,-0.24614566412288613,0.5485541246220896,0.035382069280374365
rps_lines_uppercase_letter_fraction,rps_lines_ending_with_terminal_punctution_mark,D4统计启发式,D4统计启发式,0.28378684026649664,2.270294722131973,-0.640233848431295,0.24879264988809927,0.31878103064543745
rps_doc_num_sentences,rps_lines_numerical_chars_fraction,D4统计启发式,D4统计启发式,0.28280453597188604,2.2624362877750883,-0.2289632588968946,0.1761209705916997,0.3894881013525081
rps_doc_frac_unique_words,rps_doc_mean_word_length,D4统计启发式,D4统计启发式,0.2631464858328358,2.1051718866626863,-0.051158418722471385,0.27970277592367193,0.2465901957427381
rps_doc_unigram_entropy,rps_lines_numerical_chars_fraction,D4统计启发式,D4统计启发式,0.2600890538374312,2.0807124306994496,-0.5395490993437428,0.29567317130629395,0.22450493636934316
rps_doc_num_sentences,rps_doc_frac_chars_top_2gram,D4统计启发式,D4统计启发式,0.25827666367617347,2.0662133094093877,-0.0639147189339512,0.4815707330480192,0.0349825943046282
rps_doc_word_count,rps_doc_frac_no_alph_words,D4统计启发式,D4统计启发式,0.25775489412055524,2.062039152964442,-0.12910576475120256,0.3903029172719777,0.12520687096958283
rps_doc_num_sentences,rps_doc_frac_no_alph_words,D4统计启发式,D4统计启发式,0.25725538052939606,2.0580430442351685,-0.10129748911845514,0.39044524716321805,0.12406551389602237
rps_doc_num_sentences,rps_lines_ending_with_terminal_punctution_mark,D4统计启发式,D4统计启发式,0.2493476054400058,1.9947808435200465,-0.03148867134423979,0.36030566571125683,0.13838954516920618
rps_doc_word_count,rps_lines_ending_with_terminal_punctution_mark,D4统计启发式,D4统计启发式,0.24836189713380022,1.9868951770704018,-0.08920140637654732,0.3568504849032157,0.13987330936483477
ad_en,rps_doc_word_count,D2语言规范,D4统计启发式,0.24606924991658002,1.9685539993326402,-0.08803064078848394,0.3260139777769053,0.16612452205672545
ad_en,rps_doc_num_sentences,D2语言规范,D4统计启发式,0.2460136167976813,1.9681089343814504,-0.01674143811569334,0.3268728650516314,0.16515436854419904
rps_doc_frac_no_alph_words,rps_doc_mean_word_length,D4统计启发式,D4统计启发式,0.24584241113577718,1.9667392890862174,-0.08807081564586429,0.3693313439868075,0.12235347828568167
rps_doc_num_sentences,rps_doc_frac_chars_top_3gram,D4统计启发式,D4统计启发式,0.24212820545388955,1.9370256436311164,-0.15618868765550967,0.4240498252777887,0.060206585630314446
rps_doc_frac_chars_top_3gram,rps_doc_mean_word_length,D4统计启发式,D4统计启发式,0.2382484361394918,1.9059874891159343,-0.049000157337370356,0.41674682947897446,0.05975004280089026
rps_doc_word_count,rps_doc_frac_unique_words,D4统计启发式,D4统计启发式,0.23336518307275392,1.8669214645820313,0.11585067555304329,0.2201401704032353,0.2465901957427381
rps_doc_num_sentences,rps_doc_frac_unique_words,D4统计启发式,D4统计启发式,0.2325899119168154,1.8607192953345233,0.14951814633241994,0.2196739173112411,0.24550590652285567
fineweb_edu,rps_lines_numerical_chars_fraction,D1语义价值,D4统计启发式,0.23130083975998814,1.850406718079905,-0.4370175211412215,0.2659458557462013,0.19665582377446783
rps_doc_frac_chars_top_2gram,rps_doc_mean_word_length,D4统计启发式,D4统计启发式,0.22945501908773874,1.83564015270191,0.009833423303378584,0.42255781538340725,0.03635222279290076
rps_lines_uppercase_letter_fraction,rps_doc_mean_word_length,D4统计启发式,D4统计启发式,0.22815420871398906,1.8252336697119125,0.06541243719198858,0.25731281165338254,0.1989956057752668
modernbert_cleanliness,rps_doc_num_sentences,D2语言规范,D4统计启发式,0.2274768192400431,1.8198145539203447,0.13699825122449802,0.4530703993089638,0.0018832391713747645
rps_doc_num_sentences,rps_lines_uppercase_letter_fraction,D4统计启发式,D4统计启发式,0.22686417908723175,1.814913432697854,0.17916763198019153,0.25615944874160745,0.1975689094333162
fluency_en,rps_doc_num_sentences,D2语言规范,D4统计启发式,0.22241952381179664,1.779356190494373,0.14214661879507803,0.4348521732302014,0.009986874393654055
dsir_math,rps_lines_numerical_chars_fraction,D3参考域相似,D4统计启发式,0.21733786478027525,1.738702918242202,-0.4193666316104493,0.25856433311084065,0.17611139645037951
dsir_wiki,rps_doc_num_sentences,D3参考域相似,D4统计启发式,0.2170386150967136,1.7363089207737088,0.20157524788107317,0.4186118418469512,0.01546538834674428
dsir_books,rps_doc_num_sentences,D3参考域相似,D4统计启发式,0.21693925596720953,1.7355140477376763,0.20231036118197246,0.4181848521732302,0.015693659761456372
qurater,rps_doc_num_sentences,D1语义价值,D4统计启发式,0.21660806960544632,1.7328645568435705,0.19666361721265435,0.42197377203659353,0.011242367174570564
dsir_math,rps_doc_num_sentences,D3参考域相似,D4统计启发式,0.21559373788529157,1.7247499030823326,0.21263331828241866,0.4272497938670541,0.0039376819037835985
modernbert_professionalism,rps_lines_numerical_chars_fraction,D1语义价值,D4统计启发式,0.21508381311895014,1.7206705049516011,-0.4002417796357466,0.26010542227806355,0.17006220396050906
dsir_wiki,rps_lines_numerical_chars_fraction,D3参考域相似,D4统计启发式,0.2150090303169954,1.7200722425359631,-0.38833226731581194,0.2514527464761082,0.1785653141585345
modernbert_reasoning,rps_lines_numerical_chars_fraction,D1语义价值,D4统计启发式,0.21406260391463736,1.7125008313170988,-0.46087371352423634,0.2744414778750638,0.1536837299549164
dsir_books,rps_lines_numerical_chars_fraction,D3参考域相似,D4统计启发式,0.2136566323702173,1.7092530589617383,-0.3845006943124537,0.25103066472967134,0.17628260001141358
modernbert_readability,rps_doc_num_sentences,D2语言规范,D4统计启发式,0.21257217635998782,1.7005774108799026,0.249898268531048,0.42223389218265345,0.002910460537579182
modernbert_readability,rps_lines_numerical_chars_fraction,D2语言规范,D4统计启发式,0.21076506887916577,1.6861205510333261,-0.3543338678846561,0.23354862774353136,0.18798151001540833
fineweb_edu,rps_doc_num_sentences,D1语义价值,D4统计启发式,0.20644310702444918,1.6515448561955934,0.3346348360007519,0.37539263418273194,0.03749357986646122
modernbert_professionalism,rps_doc_num_sentences,D1语义价值,D4统计启发式,0.20612725979103155,1.6490180783282524,0.30131796019590973,0.40837390553221564,0.0038806140501055756
modernbert_reasoning,rps_doc_num_sentences,D1语义价值,D4统计启发式,0.203886217091906,1.631089736735248,0.31475710076224117,0.40354941301189684,0.004223021172173715
rps_doc_word_count,rps_doc_mean_word_length,D4统计启发式,D4统计启发式,0.20377704210761538,1.630216336860923,0.2125212707078813,0.4031027916290392,0.004451292586885807
rps_doc_num_sentences,rps_doc_mean_word_length,D4统计启发式,D4统计启发式,0.20283701564470571,1.6226961251576457,0.057479149090511654,0.40259236719148767,0.0030816640986132513
qurater,rps_lines_numerical_chars_fraction,D1语义价值,D4统计启发式,0.200952423523401,1.607619388187208,-0.3298680117975867,0.21535003337390554,0.18655481367345775
rps_doc_num_sentences,rps_doc_unigram_entropy,D4统计启发式,D4统计启发式,0.19969069451283028,1.5975255561026422,0.38363258099928155,0.3965850641956889,0.0027963248302231352
ad_en,rps_doc_mean_word_length,D2语言规范,D4统计启发式,0.19572824722404938,1.565825977792395,0.16818921953536628,0.22607385448977188,0.16538263995891114
fluency_en,rps_lines_numerical_chars_fraction,D2语言规范,D4统计启发式,0.19544624334642482,1.5635699467713986,-0.3012024988659349,0.21050100121716597,0.18039148547623124
rps_doc_word_count,rps_lines_uppercase_letter_fraction,D4统计启发式,D4统计启发式,0.19484653037121505,1.5587722429697204,0.27650522644395303,0.19360791550512388,0.1960851452376876
rps_doc_frac_no_alph_words,rps_lines_uppercase_letter_fraction,D4统计启发式,D4统计启发式,0.19459686201243126,1.55677489609945,-0.33785836495677957,0.20617711727983037,0.1830166067454203
rps_lines_ending_with_terminal_punctution_mark,rps_doc_mean_word_length,D4统计启发式,D4统计启发式,0.1924023071007084,1.5392184568056673,0.19545555376194815,0.24772762966743886,0.13707698453461165
modernbert_cleanliness,rps_doc_word_count,D2语言规范,D4统计启发式,0.19185965119602139,1.534877209568171,0.23066420669414658,0.3821214024893007,0.0015978999029846487
modernbert_cleanliness,rps_lines_numerical_chars_fraction,D2语言规范,D4统计启发式,0.19007758386331808,1.5206206709065446,-0.31563224987410954,0.21037830303506222,0.16977686469211892
rps_doc_frac_chars_top_2gram,rps_lines_numerical_chars_fraction,D4统计启发式,D4统计启发式,0.18057140653869483,1.4445712523095586,-0.11749262412312493,0.2668096509482116,0.0943331621297723
modernbert_professionalism,rps_doc_mean_word_length,D1语义价值,D4统计启发式,0.17263606213481014,1.3810884970784811,0.18527794218583132,0.33973654246338686,0.005535581806768247
modernbert_professionalism,rps_doc_frac_chars_top_3gram,D1语义价值,D4统计启发式,0.1670366197160566,1.3362929577284528,-0.12106211751489503,0.302971259177824,0.031101980254522626
fluency_en,rps_doc_word_count,D2语言规范,D4统计启发式,0.16505932426214634,1.3204745940971707,0.3306693472317757,0.3203600455455652,0.009758602978941962
ad_en,rps_lines_numerical_chars_fraction,D2语言规范,D4统计启发式,0.16115126595530943,1.2892101276424754,-0.14196958734274823,0.16239840590521812,0.15990412600582093
rps_doc_unigram_entropy,rps_doc_frac_chars_top_3gram,D4统计启发式,D4统计启发式,0.15967951053889476,1.277436084311158,-0.0795920304693502,0.3052632612195218,0.014095759858471724
qurater,rps_doc_word_count,D1语义价值,D4统计启发式,0.15934602860148864,1.274768228811909,0.35684107222869876,0.30767796144332327,0.011014095759858471
modernbert_readability,rps_doc_word_count,D2语言规范,D4统计启发式,0.1575997362300828,1.2607978898406624,0.3969832682525803,0.31206074050806865,0.003138731952291274
rps_lines_uppercase_letter_fraction,rps_lines_numerical_chars_fraction,D4统计启发式,D4统计启发式,0.1573813397677101,1.2590507181416808,-0.17028377382267457,0.18424849817425104,0.13051418136163898
ad_en,rps_doc_frac_unique_words,D2语言规范,D4统计启发式,0.15431028794510443,1.2344823035608354,-0.13244703715031403,0.1535101495936236,0.15511042629686697
