code,file,rows,cols,n_missing_cells,note
B1,pythia_training_log_existing.csv,1176,18,0,8 模型×147 检查点; C/6ND 中位数 1.0000; |C/6ND-1|>2% 行 13; 同模型 val_loss 单调不增
B12,pythia_checkpoint_index.csv,1386,5,0,9 规模×154 检查点(含 14m); 用于核对 B1 步数覆盖
B11,open_model_family_metadata.csv,18,12,18,"权重字节/名义参数量, 辅助核对 N"
B3,training_trajectories/*.csv,4000,5,0,8×500 插值点; 与 B1 线性插值差异见 T01_B3_trajectory_vs_B1.csv
B2,cerebras_training_log.csv,1029,16,3087,半合成; 7 模型×147 点; gpu_days/step_time/grad_norm 全缺失; 约 1/3 相邻点 Loss 回升(叠加噪声)
B4,scaling_baseline.csv,57,5,0,"12 族 57 点; 其中 Pythia 8 点在 (N,D) 上与 B1 近邻, 但 Loss 与 B1 相差最大 1.060(评测口径不同), 作为半独立校验并单独报告"
B5,published_scaling_data.csv,44,6,0,"11 族 44 点, 文献汇总"
B6,supplementary_NQ_experiment.csv,360,5,0,"9N×5D×8Q 全网格 360 点, 半合成"
B7,supplementary_NQ_experiment_expanded.csv,450,5,0,"B6 的超集(360 点完全相同 360/360) + Q=0.5,0.7 共 90 点"
B8,supplementary_NQ_experiment_large.csv,1704,6,0,15N×10D×12Q 1704 点; 362 点(21.2%) 恰为 0.5 下限截断; Loss 随 Q 上升(与 B6/B7 反向); 720 点为 extrapolated
B9,supplementary_large_models.csv,132,8,15,132 行; D=0 或极小的非 LLM 行 17; FLOPs 缺失 11
B10,supplementary_large_baseline.csv,128,5,0,"128 行估算 Loss(非观测), 与 B9 按名称一一对应(B9 另有 4 行无估算)"
