family,n,mean_resid,sd_resid,spearman_within,rmse_after_offset
BLOOM,4,0.293945770581994,0.08452780547198604,1.0,0.0732032268648892
Cerebras-GPT,7,0.18585455377459364,0.12708667178419242,1.0,0.11765939515100253
Falcon,2,0.1581200511287617,0.0836766487227493,,0.05916832573882069
GPT2,4,0.21127285784601946,0.050949543664414905,1.0,0.04412359912460781
Gemma,3,0.1644954836785716,0.07433275669061759,0.5,0.06069244168882181
LLaMA,6,0.07231208063933865,0.13646057918182483,1.0,0.12457089571350886
Mistral,1,0.12715776428235426,,,0.0
OPT,7,0.2809741425976557,0.15807693421396207,1.0,0.1463508030057094
Phi,6,0.18373341977023003,0.07216731757481096,1.0,0.06587944625060498
Pythia,8,0.44340506765176757,0.3357404547246664,1.0,0.3140564381148475
Qwen2,7,0.1754773393471969,0.1745420850014881,0.9642857142857145,0.16159457055058687
Yi,2,0.028563138783032183,0.08078382514201199,,0.057122790568104986
