run_id,N_params_B,D_tokens_B,val_loss,pred_pythia_law,pred_offset,pred_refit
cerebras_0.111B,0.111,14.0,6.4979,3.0297738248804835,4.208171474753455,6.532271676795585
cerebras_0.111B,0.111,29.0,5.7942,2.920493957851404,4.098891607724376,5.778744244977618
cerebras_0.111B,0.111,43.0,5.4529,2.8700414906763383,4.04843914054931,5.43060451834052
cerebras_0.111B,0.111,57.0,5.1848,2.837208660459516,4.015606310332488,5.203949348885017
cerebras_0.111B,0.111,72.0,5.0399,2.811892033005764,3.990289682878736,5.029123872341801
cerebras_0.111B,0.111,86.0,4.9005,2.793715903593919,3.9721135534668908,4.903574868710542
cerebras_0.111B,0.111,100.0,4.7688,2.7789813527424903,3.957379002615462,4.801776951247023
cerebras_0.111B,0.111,115.0,4.7178,2.7658719702861494,3.944269620159121,4.711190365599087
cerebras_0.111B,0.111,129.0,4.6465,2.7554741132910214,3.9338717631639932,4.639329018628594
cerebras_0.111B,0.111,143.0,4.6003,2.746428968066262,3.924826617939234,4.576807891148877
cerebras_0.111B,0.111,158.0,4.522,2.7379171163884815,3.9163147662614533,4.51796542336501
cerebras_0.111B,0.111,172.0,4.4305,2.73085750246683,3.9092551523398016,4.4691565915470335
cerebras_0.111B,0.111,186.0,4.4228,2.7244976195976167,3.9028952694705885,4.425181039558297
cerebras_0.111B,0.111,201.0,4.3766,2.7183301814591943,3.896727831332166,4.382531958317918
cerebras_0.111B,0.111,215.0,4.341,2.7130834114547855,3.8914810613277573,4.346246164707154
cerebras_0.111B,0.111,229.0,4.3079,2.7082567114991605,3.8866543613721323,4.312862758682722
cerebras_0.111B,0.111,244.0,4.2706,2.7034875480670437,3.8818851979400155,4.279874665100426
cerebras_0.111B,0.111,258.0,4.2643,2.699363243640077,3.8777608935130488,4.251344885847362
cerebras_0.111B,0.111,272.0,4.222,2.6955159086458305,3.8739135585188023,4.224729211691123
cerebras_0.111B,0.111,287.0,4.1985,2.6916654494953836,3.8700630993683554,4.198090134509059
cerebras_0.111B,0.111,301.0,4.1726,2.688297235189487,3.8666948850624587,4.174785937685622
cerebras_0.111B,0.111,315.0,4.1687,2.6851238155858606,3.8635214654588323,4.152828207996791
cerebras_0.111B,0.111,330.0,4.1408,2.6819181256445455,3.8603157755175173,4.1306459040470855
cerebras_0.111B,0.111,344.0,4.0985,2.679090084183006,3.8574877340559777,4.111075713808546
cerebras_0.111B,0.111,358.0,4.0932,2.676405662577033,3.854803312450005,4.092498425624832
cerebras_0.111B,0.111,373.0,4.0662,2.6736747042912063,3.852072354164178,4.073598119617305
cerebras_0.111B,0.111,387.0,4.028,2.671249734226943,3.8496473840999146,4.056814659593367
cerebras_0.111B,0.111,401.0,3.9989,2.668934535610462,3.8473321854834337,4.040790206869264
cerebras_0.111B,0.111,416.0,4.0339,2.666566084781774,3.844963734654746,4.0243964260634755
cerebras_0.111B,0.111,430.0,4.0147,2.6644521235041316,3.8428497733771034,4.009763508867706
cerebras_0.111B,0.111,444.0,4.0021,2.662424478392567,3.840822128265539,3.995727498444224
cerebras_0.111B,0.111,459.0,3.984,2.6603408862901046,3.8387385361630764,3.9813036110819486
cerebras_0.111B,0.111,473.0,3.9569,2.658473363265663,3.836871013138635,3.9683749686544196
cerebras_0.111B,0.111,487.0,3.9615,2.6566752889937044,3.835072938866676,3.9559266466935936
cerebras_0.111B,0.111,502.0,3.9469,2.654820776974966,3.833218426847938,3.94308711623509
cerebras_0.111B,0.111,516.0,3.927,2.6531527959130234,3.8315504457859952,3.9315385928846496
cerebras_0.111B,0.111,530.0,3.9224,2.6515417612566865,3.8299394111296583,3.9203839647273657
cerebras_0.111B,0.111,545.0,3.9095,2.6498750192190834,3.828272669092055,3.908843226622932
cerebras_0.111B,0.111,559.0,3.8948,2.648371532077505,3.826769181950477,3.898432536641505
cerebras_0.111B,0.111,573.0,3.8842,2.6469154884768904,3.825313138349862,3.8883500442234915
cerebras_0.111B,0.111,588.0,3.8751,2.6454051368508082,3.82380278672378,3.8778911577281923
cerebras_0.111B,0.111,602.0,3.8797,2.644039317397466,3.8224369672704377,3.868432833303146
cerebras_0.111B,0.111,616.0,3.8736,2.642713563451639,3.821111213324611,3.8592516937608163
cerebras_0.111B,0.111,631.0,3.8393,2.6413352510877575,3.8197329009607293,3.849706292204701
cerebras_0.111B,0.111,645.0,3.8422,2.6400861462865506,3.8184837961595224,3.841055457067296
cerebras_0.111B,0.111,659.0,3.8504,2.6388712736048343,3.817268923477806,3.832641470359485
cerebras_0.111B,0.111,674.0,3.8098,2.637605755009618,3.81600340488259,3.8238764760866664
cerebras_0.111B,0.111,688.0,3.8163,2.6364567122276146,3.8148543621005864,3.8159179781829224
cerebras_0.111B,0.111,702.0,3.8145,2.635337216292152,3.813734866165124,3.8081639284550475
cerebras_0.111B,0.111,717.0,3.7898,2.6341690387586794,3.812566688631651,3.8000724809106083
cerebras_0.111B,0.111,731.0,3.7948,2.6331066219403847,3.8115042718133565,3.7927134029544436
cerebras_0.111B,0.111,745.0,3.783,2.632069936719198,3.81046758659217,3.7855323873407216
cerebras_0.111B,0.111,760.0,3.7843,2.630986520305662,3.809384170178634,3.778027485186497
cerebras_0.111B,0.111,774.0,3.7664,2.629999744369866,3.8083973942428377,3.771191853749916
cerebras_0.111B,0.111,788.0,3.7494,2.62903555533905,3.8074332052120217,3.7645125347016517
cerebras_0.111B,0.111,803.0,3.7496,2.6280265333839914,3.806424183256963,3.7575224780272536
cerebras_0.111B,0.111,817.0,3.7365,2.6271063115724074,3.805503961445379,3.751147443992514
cerebras_0.111B,0.111,831.0,3.7364,2.6262060565995693,3.804603706472541,3.7449105996416443
cerebras_0.111B,0.111,846.0,3.7325,2.6252627934899624,3.803660443362934,3.7383756569431403
cerebras_0.111B,0.111,860.0,3.7441,2.624401530745137,3.8027991806181087,3.73240868500191
cerebras_0.111B,0.111,874.0,3.7393,2.6235580307426543,3.801955680615626,3.726564656241864
cerebras_0.111B,0.111,889.0,3.7148,2.622673263017256,3.8010709128902276,3.7204345836753037
cerebras_0.111B,0.111,903.0,3.7239,2.6218645516846553,3.800262201557627,3.714831348928165
cerebras_0.111B,0.111,917.0,3.7098,2.6210717327871818,3.7994693826601535,3.7093381189775725
cerebras_0.111B,0.111,932.0,3.7005,2.6202392977911804,3.798636947664152,3.7035702846540053
cerebras_0.111B,0.111,946.0,3.7018,2.61947768641353,3.7978753362865016,3.698293074340552
cerebras_0.111B,0.111,960.0,3.6815,2.61873036791462,3.7971280177875917,3.6931148027690264
cerebras_0.111B,0.111,975.0,3.6878,2.6179449957252645,3.7963426455982363,3.6876727483255376
cerebras_0.111B,0.111,989.0,3.6956,2.617225810956459,3.7956234608294306,3.682689230680354
cerebras_0.111B,0.111,1003.0,3.6837,2.616519541286373,3.7949171911593447,3.6777951194685383
cerebras_0.111B,0.111,1018.0,3.6756,2.6157766931047632,3.794174342977735,3.6726474427945
cerebras_0.111B,0.111,1032.0,3.6601,2.615095900833358,3.7934935507063297,3.6679297069093524
cerebras_0.111B,0.111,1047.0,3.6633,2.6143794773596056,3.7927771272325774,3.6629649668974364
cerebras_0.111B,0.111,1061.0,3.653,2.613722570334603,3.792120220207575,3.6584125900693705
cerebras_0.111B,0.111,1075.0,3.6523,2.6130766661602833,3.791474316033255,3.653936388647275
cerebras_0.111B,0.111,1090.0,3.6565,2.612396467915662,3.790794117788634,3.649222444579933
cerebras_0.111B,0.111,1104.0,3.6394,2.6117723399743014,3.790169989847273,3.6448970090972415
cerebras_0.111B,0.111,1118.0,3.6433,2.6111582619424456,3.7895559118154174,3.640641155066165
cerebras_0.111B,0.111,1133.0,3.6521,2.610511150334132,3.788908800207104,3.6361562892062613
cerebras_0.111B,0.111,1147.0,3.6144,2.60991699740753,3.788314647280502,3.6320383917695835
cerebras_0.111B,0.111,1161.0,3.6255,2.6093320558212336,3.7877297056942054,3.627984272950841
cerebras_0.111B,0.111,1176.0,3.6066,2.6087152691245867,3.7871129189975585,3.623709374388646
cerebras_0.111B,0.111,1190.0,3.6165,2.608148619735962,3.786546269608934,3.619781912302863
cerebras_0.111B,0.111,1204.0,3.6178,2.6075904402127215,3.7859880900856933,3.6159130976431784
cerebras_0.111B,0.111,1219.0,3.6195,2.6070015366085983,3.78539918648157,3.6118312683880003
cerebras_0.111B,0.111,1233.0,3.6,2.6064602021947882,3.78485785206776,3.6080790960200186
cerebras_0.111B,0.111,1247.0,3.6177,2.6059266790978213,3.784324328970793,3.6043810135495407
cerebras_0.111B,0.111,1262.0,3.6181,2.60536348996881,3.783761139841782,3.600477245548463
cerebras_0.111B,0.111,1276.0,3.5926,2.604845524047015,3.783243173919987,3.596886891939211
cerebras_0.111B,0.111,1290.0,3.5969,2.60433478211807,3.782732431991042,3.5933465634339834
cerebras_0.111B,0.111,1305.0,3.611,2.603795373478611,3.782193023351583,3.589607471828515
cerebras_0.111B,0.111,1319.0,3.5849,2.6032990378463365,3.7816966877193083,3.5861669069334043
cerebras_0.111B,0.111,1333.0,3.6034,2.6028094003774975,3.7812070502504693,3.582772727789978
cerebras_0.111B,0.111,1348.0,3.5631,2.6022920408068346,3.7806896906798064,3.579186329135459
cerebras_0.111B,0.111,1362.0,3.5785,2.6018157773797217,3.7802134272526935,3.575884769047714
