配方域,全局拟合Q,两域拟合Q,差异
arxiv,0.6798620322647011,0.801560165862248,-0.12169813359754689
freelaw,0.5043063336706404,0.6653897754007653,-0.1610834417301249
nih_exporter,0.5565885995766684,0.6946027725520751,-0.13801417297540675
pubmed_central,0.5802682919193359,0.7162134071068105,-0.13594511518747454
wikipedia_en,0.43310541566157945,0.5964104974981005,-0.16330508183652104
dm_mathematics,0.3639693140327167,0.4194023050192669,-0.05543299098655019
github,0.33599872739736814,0.4143393376192615,-0.07834061022189337
philpapers,0.6498987654661312,0.8134584674661107,-0.1635597019999795
stackexchange,0.5932825229209977,0.6761155192799372,-0.08283299635893948
enron_emails,0.3737420413661872,0.5363212450748609,-0.16257920370867368
gutenberg_pg_19,0.640833782367127,0.8363518894742237,-0.19551810710709672
pile_cc,0.5019620608131914,0.670363543447177,-0.16840148263398558
ubuntu_irc,0.34344037195275096,0.6029120131865171,-0.25947164123376615
europarl,0.5079353562031811,0.7273070836603898,-0.21937172745720868
hackernews,0.43731812257396946,0.6060828671772248,-0.16876474460325536
pubmed_abstracts,0.5408674272875574,0.6628922070229927,-0.12202477973543524
uspto_backgrounds,0.5517547681393583,0.6905205261932011,-0.13876575805384284
