model_dir,task,acc
0-hero_Matter-0.2-7B-DPO,leaderboard_bbh_boolean_expressions,0.728
0-hero_Matter-0.2-7B-DPO,leaderboard_bbh_causal_judgement,0.5775401069518716
0-hero_Matter-0.2-7B-DPO,leaderboard_bbh_date_understanding,0.216
0-hero_Matter-0.2-7B-DPO,leaderboard_bbh_disambiguation_qa,0.368
0-hero_Matter-0.2-7B-DPO,leaderboard_bbh_formal_fallacies,0.488
0-hero_Matter-0.2-7B-DPO,leaderboard_bbh_geometric_shapes,0.316
0-hero_Matter-0.2-7B-DPO,leaderboard_bbh_hyperbaton,0.492
0-hero_Matter-0.2-7B-DPO,leaderboard_bbh_logical_deduction_five_objects,0.224
0-hero_Matter-0.2-7B-DPO,leaderboard_bbh_logical_deduction_seven_objects,0.184
0-hero_Matter-0.2-7B-DPO,leaderboard_bbh_logical_deduction_three_objects,0.4
0-hero_Matter-0.2-7B-DPO,leaderboard_bbh_movie_recommendation,0.556
0-hero_Matter-0.2-7B-DPO,leaderboard_bbh_navigate,0.492
0-hero_Matter-0.2-7B-DPO,leaderboard_bbh_object_counting,0.272
0-hero_Matter-0.2-7B-DPO,leaderboard_bbh_penguins_in_a_table,0.2191780821917808
0-hero_Matter-0.2-7B-DPO,leaderboard_bbh_reasoning_about_colored_objects,0.356
0-hero_Matter-0.2-7B-DPO,leaderboard_bbh_ruin_names,0.156
0-hero_Matter-0.2-7B-DPO,leaderboard_bbh_salient_translation_error_detection,0.208
0-hero_Matter-0.2-7B-DPO,leaderboard_bbh_snarks,0.46629213483146065
0-hero_Matter-0.2-7B-DPO,leaderboard_bbh_sports_understanding,0.58
0-hero_Matter-0.2-7B-DPO,leaderboard_bbh_temporal_sequences,0.2
0-hero_Matter-0.2-7B-DPO,leaderboard_bbh_tracking_shuffled_objects_five_objects,0.212
0-hero_Matter-0.2-7B-DPO,leaderboard_bbh_tracking_shuffled_objects_seven_objects,0.132
0-hero_Matter-0.2-7B-DPO,leaderboard_bbh_tracking_shuffled_objects_three_objects,0.304
0-hero_Matter-0.2-7B-DPO,leaderboard_bbh_web_of_lies,0.484
0-hero_Matter-0.2-7B-DPO,leaderboard_gpqa_diamond,0.26262626262626265
0-hero_Matter-0.2-7B-DPO,leaderboard_gpqa_extended,0.25274725274725274
0-hero_Matter-0.2-7B-DPO,leaderboard_gpqa_main,0.265625
0-hero_Matter-0.2-7B-DPO,leaderboard_math_algebra_hard,0.013029315960912053
0-hero_Matter-0.2-7B-DPO,leaderboard_math_counting_and_prob_hard,0.008130081300813009
0-hero_Matter-0.2-7B-DPO,leaderboard_math_geometry_hard,0.007575757575757576
0-hero_Matter-0.2-7B-DPO,leaderboard_math_intermediate_algebra_hard,0.0035714285714285713
0-hero_Matter-0.2-7B-DPO,leaderboard_math_num_theory_hard,0.006493506493506494
0-hero_Matter-0.2-7B-DPO,leaderboard_math_prealgebra_hard,0.015544041450777202
0-hero_Matter-0.2-7B-DPO,leaderboard_math_precalculus_hard,0.0
0-hero_Matter-0.2-7B-DPO,leaderboard_musr_murder_mysteries,0.508
0-hero_Matter-0.2-7B-DPO,leaderboard_musr_object_placements,0.328125
0-hero_Matter-0.2-7B-DPO,leaderboard_musr_team_allocation,0.308
01-ai_Yi-1.5-34B,leaderboard_arc_challenge,0.6262798634812287
01-ai_Yi-1.5-34B,leaderboard_bbh_boolean_expressions,0.892
01-ai_Yi-1.5-34B,leaderboard_bbh_causal_judgement,0.6203208556149733
01-ai_Yi-1.5-34B,leaderboard_bbh_date_understanding,0.628
01-ai_Yi-1.5-34B,leaderboard_bbh_disambiguation_qa,0.72
01-ai_Yi-1.5-34B,leaderboard_bbh_formal_fallacies,0.584
01-ai_Yi-1.5-34B,leaderboard_bbh_geometric_shapes,0.488
01-ai_Yi-1.5-34B,leaderboard_bbh_hyperbaton,0.608
01-ai_Yi-1.5-34B,leaderboard_bbh_logical_deduction_five_objects,0.428
01-ai_Yi-1.5-34B,leaderboard_bbh_logical_deduction_seven_objects,0.396
01-ai_Yi-1.5-34B,leaderboard_bbh_logical_deduction_three_objects,0.624
01-ai_Yi-1.5-34B,leaderboard_bbh_movie_recommendation,0.876
01-ai_Yi-1.5-34B,leaderboard_bbh_navigate,0.704
01-ai_Yi-1.5-34B,leaderboard_bbh_object_counting,0.352
01-ai_Yi-1.5-34B,leaderboard_bbh_penguins_in_a_table,0.5547945205479452
01-ai_Yi-1.5-34B,leaderboard_bbh_reasoning_about_colored_objects,0.652
01-ai_Yi-1.5-34B,leaderboard_bbh_ruin_names,0.832
01-ai_Yi-1.5-34B,leaderboard_bbh_salient_translation_error_detection,0.532
01-ai_Yi-1.5-34B,leaderboard_bbh_snarks,0.8202247191011236
01-ai_Yi-1.5-34B,leaderboard_bbh_sports_understanding,0.86
01-ai_Yi-1.5-34B,leaderboard_bbh_temporal_sequences,0.92
01-ai_Yi-1.5-34B,leaderboard_bbh_tracking_shuffled_objects_five_objects,0.228
01-ai_Yi-1.5-34B,leaderboard_bbh_tracking_shuffled_objects_seven_objects,0.2
01-ai_Yi-1.5-34B,leaderboard_bbh_tracking_shuffled_objects_three_objects,0.348
01-ai_Yi-1.5-34B,leaderboard_bbh_web_of_lies,0.476
01-ai_Yi-1.5-34B,leaderboard_gpqa_diamond,0.40404040404040403
01-ai_Yi-1.5-34B,leaderboard_gpqa_extended,0.3498168498168498
01-ai_Yi-1.5-34B,leaderboard_gpqa_main,0.36830357142857145
01-ai_Yi-1.5-34B,leaderboard_math_algebra_hard,0.250814332247557
01-ai_Yi-1.5-34B,leaderboard_math_counting_and_prob_hard,0.11382113821138211
01-ai_Yi-1.5-34B,leaderboard_math_geometry_hard,0.045454545454545456
01-ai_Yi-1.5-34B,leaderboard_math_intermediate_algebra_hard,0.039285714285714285
01-ai_Yi-1.5-34B,leaderboard_math_num_theory_hard,0.09090909090909091
01-ai_Yi-1.5-34B,leaderboard_math_prealgebra_hard,0.29533678756476683
01-ai_Yi-1.5-34B,leaderboard_math_precalculus_hard,0.05185185185185185
01-ai_Yi-1.5-34B,leaderboard_musr_murder_mysteries,0.552
01-ai_Yi-1.5-34B,leaderboard_musr_object_placements,0.3828125
01-ai_Yi-1.5-34B,leaderboard_musr_team_allocation,0.336
01-ai_Yi-1.5-34B-32K,leaderboard_arc_challenge,0.6339590443686007
01-ai_Yi-1.5-34B-32K,leaderboard_bbh_boolean_expressions,0.912
01-ai_Yi-1.5-34B-32K,leaderboard_bbh_causal_judgement,0.6470588235294118
01-ai_Yi-1.5-34B-32K,leaderboard_bbh_date_understanding,0.632
01-ai_Yi-1.5-34B-32K,leaderboard_bbh_disambiguation_qa,0.736
01-ai_Yi-1.5-34B-32K,leaderboard_bbh_formal_fallacies,0.572
01-ai_Yi-1.5-34B-32K,leaderboard_bbh_geometric_shapes,0.444
01-ai_Yi-1.5-34B-32K,leaderboard_bbh_hyperbaton,0.66
01-ai_Yi-1.5-34B-32K,leaderboard_bbh_logical_deduction_five_objects,0.46
01-ai_Yi-1.5-34B-32K,leaderboard_bbh_logical_deduction_seven_objects,0.42
01-ai_Yi-1.5-34B-32K,leaderboard_bbh_logical_deduction_three_objects,0.684
01-ai_Yi-1.5-34B-32K,leaderboard_bbh_movie_recommendation,0.828
01-ai_Yi-1.5-34B-32K,leaderboard_bbh_navigate,0.684
01-ai_Yi-1.5-34B-32K,leaderboard_bbh_object_counting,0.38
01-ai_Yi-1.5-34B-32K,leaderboard_bbh_penguins_in_a_table,0.5958904109589042
01-ai_Yi-1.5-34B-32K,leaderboard_bbh_reasoning_about_colored_objects,0.688
01-ai_Yi-1.5-34B-32K,leaderboard_bbh_ruin_names,0.836
01-ai_Yi-1.5-34B-32K,leaderboard_bbh_salient_translation_error_detection,0.524
01-ai_Yi-1.5-34B-32K,leaderboard_bbh_snarks,0.8426966292134831
01-ai_Yi-1.5-34B-32K,leaderboard_bbh_sports_understanding,0.808
01-ai_Yi-1.5-34B-32K,leaderboard_bbh_temporal_sequences,0.768
01-ai_Yi-1.5-34B-32K,leaderboard_bbh_tracking_shuffled_objects_five_objects,0.272
01-ai_Yi-1.5-34B-32K,leaderboard_bbh_tracking_shuffled_objects_seven_objects,0.236
01-ai_Yi-1.5-34B-32K,leaderboard_bbh_tracking_shuffled_objects_three_objects,0.34
