path,size_bytes,stage,stage_description
T01/T01_B11_weight_bytes_check.csv,2885,T01,附件B审计与一致性核对
T01/T01_B12_checkpoint_coverage.csv,294,T01,附件B审计与一致性核对
T01/T01_B1_C_not_6ND_rows.csv,626,T01,附件B审计与一致性核对
T01/T01_B1_pythia_per_model_summary.csv,1195,T01,附件B审计与一致性核对
T01/T01_B2_cerebras_per_model_summary.csv,420,T01,附件B审计与一致性核对
T01/T01_B3_trajectory_vs_B1.csv,931,T01,附件B审计与一致性核对
T01/T01_B4_family_summary.csv,487,T01,附件B审计与一致性核对
T01/T01_B4_pythia_rows_nearest_B1.csv,502,T01,附件B审计与一致性核对
T01/T01_B5_family_summary.csv,574,T01,附件B审计与一致性核对
T01/T01_B678_Q_direction_by_cell.csv,10178,T01,附件B审计与一致性核对
T01/T01_B678_Q_direction_summary.csv,433,T01,附件B审计与一致性核对
T01/T01_B7_Q1_vs_B1_anchor.csv,1315,T01,附件B审计与一致性核对
T01/T01_B7_vs_B8_same_grid_points.csv,16027,T01,附件B审计与一致性核对
T01/T01_B9_B10_joined.csv,23587,T01,附件B审计与一致性核对
T01/T01_data_audit.csv,1522,T01,附件B审计与一致性核对
T01/T01_key_checks.json,380,T01,附件B审计与一致性核对
T02/T02_B1_pointwise_fit_residuals.csv,81097,T02,经典律拟合(B1)、子集敏感性、LOMO、时间外推、自助CI、计算最优分配
T02/T02_LOMO_cv.csv,1603,T02,经典律拟合(B1)、子集敏感性、LOMO、时间外推、自助CI、计算最优分配
T02/T02_LOMO_predictions.csv,45046,T02,经典律拟合(B1)、子集敏感性、LOMO、时间外推、自助CI、计算最优分配
T02/T02_bootstrap_CI.csv,694,T02,经典律拟合(B1)、子集敏感性、LOMO、时间外推、自助CI、计算最优分配
T02/T02_bootstrap_params.csv,51217,T02,经典律拟合(B1)、子集敏感性、LOMO、时间外推、自助CI、计算最优分配
T02/T02_compare_chinchilla.csv,340,T02,经典律拟合(B1)、子集敏感性、LOMO、时间外推、自助CI、计算最优分配
