point,domain_i,domain_j,p_i,p_j,first_order_i_minus_j,curvature_1M,relation,swap_tolerance_share_at_0.001B,swap_tolerance_share_at_1B,swap_tolerance_share_at_70B,swap_tolerance_share_at_1000B
p_ref,arxiv,freelaw,0.1094680155884291,0.0895313218675953,0.05453815128123951,7.744151101815339,互补(互换受凸性惩罚),0.02749814639013567,0.05535239186423023,0.08454023565816624,0.10993109928578854
p*,arxiv,freelaw,0.0834351287582568,0.0733992483439408,0.041058770720372895,12.17870811253714,互补(互换受凸性惩罚),0.021927530201434817,0.044139020394478846,0.06741394653771464,0.08766109051375097
p_ref,arxiv,nih_exporter,0.1094680155884291,0.0058899993708469,1.1310385522806023,311.36705340149257,互补(互换受凸性惩罚),0.004336646281630541,0.00872945183110527,0.013332574982096728,0.017336888319290113
p*,arxiv,nih_exporter,0.0834351287582568,0.0089060235470232,0.37934556957553367,154.4153664250807,互补(互换受凸性惩罚),0.0061580763707218015,0.012395899402307608,0.01893237530252444,0.024618535930193898
p_ref,arxiv,pubmed_central,0.1094680155884291,0.1171161131911714,0.1221620951693696,6.027275981687863,互补(互换受凸性惩罚),0.03116949671469566,0.06274263624480468,0.09582742633707424,0.12460829138870413
p*,arxiv,pubmed_central,0.0834351287582568,0.0979163295359779,0.08468783404081925,9.475194378208894,互补(互换受凸性惩罚),0.02485972182979302,0.0500413753289235,0.07642866948446675,0.09938330060197842
p_ref,arxiv,wikipedia_en,0.1094680155884291,0.0767974332462365,0.2130821749942835,6.735684499836742,互补(互换受凸性惩罚),0.02948488651056796,0.05935160025152741,0.09064826474456061,0.1178736173863049
p*,arxiv,wikipedia_en,0.0834351287582568,0.0745206064974201,0.11666292228815989,9.153083042640999,互补(互换受凸性惩罚),0.02529336594692257,0.05091427922435055,0.07776186392360394,0.1011169074356364
p_ref,arxiv,dm_mathematics,0.1094680155884291,0.0268830894510259,1.7379412320807326,107.31718254283328,互补(互换受凸性惩罚),0.007386789064515883,0.014869236533854835,0.022709926676925257,0.0295306392850455
p*,arxiv,dm_mathematics,0.0834351287582568,0.0448152736693459,0.4953889659019892,43.88395899152047,互补(互换受凸性惩罚),0.011551474626575152,0.02325254004645459,0.03551382603302713,0.04618006923284238
p_ref,arxiv,github,0.1094680155884291,0.1152733336192701,0.027631334637477245,6.115223015837284,互补(互换受凸性惩罚),0.03094455052034508,0.062289830818525925,0.09513585229382789,0.12370900959442345
p*,arxiv,github,0.0834351287582568,0.0790460862008018,0.08223468860585159,11.675315677688708,互补(互换受凸性惩罚),0.02239525505169988,0.0450805270993016,0.0688519187014956,0.08953094407491188
p_ref,arxiv,philpapers,0.1094680155884291,0.0054111255585165,0.43078457746218124,-26.50122318837847,可替代(无凸性惩罚),inf,inf,inf,inf
p*,arxiv,philpapers,0.0834351287582568,0.0044458356139571,0.29217823100574014,-35.72449728606624,可替代(无凸性惩罚),inf,inf,inf,inf
p_ref,arxiv,stackexchange,0.1094680155884291,0.0999208133866591,0.3831742351494225,7.659553528745645,互补(互换受凸性惩罚),0.027649583964418283,0.055657228118853805,0.0850058149752487,0.11053651096619303
p*,arxiv,stackexchange,0.0834351287582568,0.1294347138939774,0.17366629577196102,8.016367717213397,互补(互换受凸性惩罚),0.02702722851207331,0.054404457754324904,0.08309244685734304,0.1080484807530973
p_ref,arxiv,enron_emails,0.1094680155884291,0.0022591816301773,0.10341330098772916,-228.90973857847922,可替代(无凸性惩罚),inf,inf,inf,inf
