mixture_domain,quality_domain,mapping_type,confidence,rationale,Q_quality_domain,Q_shrunk,Q_available
arxiv,arxiv,direct,1.0,配方域名与质量信号域名一致,0.804340637468361,0.804340637468361,True
github,github,direct,1.0,配方域名与质量信号域名一致,0.554817220646689,0.554817220646689,True
stackexchange,stackexchange,direct,1.0,配方域名与质量信号域名一致,0.6674442442920898,0.6674442442920898,True
wikipedia_en,wikipedia,near_direct,0.8,名称略有差异，语义对应,0.63403127157961,0.6400573105939013,True
gutenberg_pg_19,book,near_direct,0.8,书籍类文本，可参考 book 域质量信号,0.6664133758338617,0.6659629939973026,True
pile_cc,commoncrawl,near_direct,0.8,网页抓取类文本，可参考 commoncrawl 域质量信号,0.6648441915231624,0.6647076465487431,True
dm_mathematics,arxiv,inferred,0.3,数学符号/题目文本,0.804340637468361,0.7062152178962545,True
freelaw,wikipedia,inferred,0.3,正式说明性长文本,0.63403127157961,0.6551224081296292,True
nih_exporter,arxiv,inferred,0.5,科研项目摘要,0.804340637468361,0.7342510520597136,True
pubmed_central,arxiv,inferred,0.6,学术全文,0.804340637468361,0.748268969141443,True
philpapers,arxiv,inferred,0.6,学术论文,0.804340637468361,0.748268969141443,True
enron_emails,commoncrawl,inferred,0.3,非正式通信文本,0.6648441915231624,0.6643662841126949,True
ubuntu_irc,stackexchange,inferred,0.4,技术问答对话,0.6674442442920898,0.6654745777074755,True
europarl,wikipedia,inferred,0.3,正式议会记录,0.63403127157961,0.6551224081296292,True
hackernews,stackexchange,inferred,0.4,技术社区讨论,0.6674442442920898,0.6654745777074755,True
pubmed_abstracts,arxiv,inferred,0.5,学术摘要,0.804340637468361,0.7342510520597136,True
uspto_backgrounds,wikipedia,inferred,0.3,正式技术说明文本,0.63403127157961,0.6551224081296292,True
