family,model_repo,config_bytes,readme_bytes,weight_file_count,weight_total_bytes,source_url,error,size_tag,N_B_nominal,bytes_per_param_per_file,bytes_per_param_total
pythia,EleutherAI/pythia-14m,698,10560,2,56303938,https://huggingface.co/EleutherAI/pythia-14m,,14m,0.014,2.010854928571429,4.021709857142858
pythia,EleutherAI/pythia-70m,567,14256,2,332078951,https://huggingface.co/EleutherAI/pythia-70m,,70m,0.070542,2.3537676207082305,4.707535241416461
pythia,EleutherAI/pythia-160m,569,13593,2,750035541,https://huggingface.co/EleutherAI/pythia-160m,,160m,0.162405,2.3091516301837998,4.6183032603675995
pythia,EleutherAI/pythia-410m,570,13593,2,1822822845,https://huggingface.co/EleutherAI/pythia-410m,,410m,0.409009,2.228340751670501,4.456681503341002
pythia,EleutherAI/pythia-1b,569,13568,2,4181453493,https://huggingface.co/EleutherAI/pythia-1b,,1b,1.040867,2.0086396691412065,4.017279338282413
pythia,EleutherAI/pythia-1.4b,570,13597,2,5860078981,https://huggingface.co/EleutherAI/pythia-1.4b,,1.4b,1.416184,2.068968079359744,4.137936158719488
pythia,EleutherAI/pythia-2.8b,571,13593,2,11369487041,https://huggingface.co/EleutherAI/pythia-2.8b,,2.8b,2.782831,2.0427915027897847,4.085583005579569
pythia,EleutherAI/pythia-6.9b,571,13593,4,27697868990,https://huggingface.co/EleutherAI/pythia-6.9b,,6.9b,6.86104,1.009244552939496,4.036978211757984
pythia,EleutherAI/pythia-12b,571,13570,6,47686533355,https://huggingface.co/EleutherAI/pythia-12b,,12b,11.965825,0.6642045625075301,3.9852273750451808
cerebras_gpt,cerebras/Cerebras-GPT-111M,359,12566,1,486188257,https://huggingface.co/cerebras/Cerebras-GPT-111M,,111M,0.111,4.3800743873873875,4.3800743873873875
cerebras_gpt,cerebras/Cerebras-GPT-256M,360,12567,1,1082688753,https://huggingface.co/cerebras/Cerebras-GPT-256M,,256M,0.256,4.22925294140625,4.22925294140625
cerebras_gpt,cerebras/Cerebras-GPT-590M,360,12567,1,2436818753,https://huggingface.co/cerebras/Cerebras-GPT-590M,,590M,0.59,4.130201276271187,4.130201276271187
cerebras_gpt,cerebras/Cerebras-GPT-1.3B,360,12567,1,5363661129,https://huggingface.co/cerebras/Cerebras-GPT-1.3B,,1.3B,1.3,4.125893176153846,4.125893176153846
cerebras_gpt,cerebras/Cerebras-GPT-2.7B,361,12583,1,10740572549,https://huggingface.co/cerebras/Cerebras-GPT-2.7B,,2.7B,2.7,3.977989832962963,3.977989832962963
cerebras_gpt,cerebras/Cerebras-GPT-6.7B,361,12584,1,26767978209,https://huggingface.co/cerebras/Cerebras-GPT-6.7B,,6.7B,6.7,3.9952206282089553,3.9952206282089553
cerebras_gpt,cerebras/Cerebras-GPT-13B,800,12580,2,51581500674,https://huggingface.co/cerebras/Cerebras-GPT-13B,,13B,13.0,1.983903872076923,3.967807744153846
olmo,allenai/OLMo-1B,1321,17433,2,9414146093,https://huggingface.co/allenai/OLMo-1B,,1B,1.18,3.989044954661017,7.978089909322034
olmo,allenai/OLMo-7B,1322,17697,2,55104826062,https://huggingface.co/allenai/OLMo-7B,,7B,6.89,3.9988988433962263,7.9977976867924525
