model_name,N_params_B,D_tokens_B,FLOPs,publication_date,organization,accessibility,country
Ling-flash-base-2.0-20T,100.0,20000.0,7.320e+23,2025-09-10,Ant Group,Open weights (unrestricted),China
FaXin,100.0,3670.0,,2024-11-15,,,
PLaMo-100B,100.0,2000.0,1.200e+24,2024-06-14,Preferred Networks Inc,API access,Japan
Yi-Large,100.0,3000.0,1.800e+24,2024-05-13,01.AI,API access,China
Hunyuan,100.0,2000.0,1.200e+24,2023-09-07,Tencent,API access,China
Luca 2.0,100.0,2000.0,1.200e+24,2023-08-29,Mianbi Intelligence,Hosted access (no API),China
xTrimoPGLM -100B,100.0,275.0,6.200e+23,2023-07-06,"Tsinghua University,BioMap Research",Unreleased,"China,China"
YaLM,100.0,300.0,2.200e+23,2022-06-23,Yandex,Open weights (unrestricted),Russia
DLRM-2020,100.0,0.0,4.000e+18,2019-05-31,Facebook AI,Unreleased,United States of America
FLM-101B,101.0,311.5,5.720e+22,2023-09-07,"Chinese Academy of Sciences,Harbin Institute of Technology,Nanyang Technological University,Beijing Academy of Artificial Intelligence / BAAI",Open weights (unrestricted),"China,China,Singapore,China"
"Solar Open 100B
",102.0,19700.0,,2025-12-31,Upstage,API access,Korea (Republic of)
Odyssey 102B,102.0,179.7,1.100e+23,2025-10-18,Anthrogen,Unreleased,United States of America
Yuan 2.0,102.6,289.1,1.780e+23,2023-11-27,Inspur,Open weights (restricted use),China
InternLM,104.0,1600.0,9.984e+23,2023-07-06,"Shanghai AI Lab,SenseTime",Unreleased,"China,Hong Kong"
Ring-flash-linear-2.0,104.2,1000.0,7.686e+23,2025-10-23,Ant Group,Open weights (unrestricted),China
GLM-4.5-Air,106.0,2603.8,1.656e+24,2025-08-05,"Z.ai (Zhipu AI),Tsinghua University",Open weights (unrestricted),"China,China"
GLM-4.5V,108.0,2013.3,1.800e+24,2025-08-15,"Z.ai (Zhipu AI),Tsinghua University",Open weights (unrestricted),"China,China"
Llama 4 Scout,109.0,30000.0,4.080e+24,2025-04-05,Meta AI,Open weights (restricted use),United States of America
Telechat2-115B,115.0,10000.0,6.900e+24,2024-09-20,China Telecom,Open weights (restricted use),China
gpt-oss-120b,116.8,7047.3,4.940e+24,2025-08-05,OpenAI,Open weights (unrestricted),United States of America
Galactica,120.0,106.0,3.240e+23,2022-11-16,Meta AI,Open weights (non-commercial),United States of America
Mistral Large 2,123.0,28861.8,2.130e+25,2024-07-24,Mistral AI,Open weights (non-commercial),France
Step-Audio-Chat 130B,130.0,1668.0,1.925e+24,2025-02-18,StepFun,Open weights (unrestricted),China
Step-1,130.0,800.0,6.240e+23,2025-02-18,StepFun,Unreleased,China
Step-Omni,130.0,2468.0,2.549e+24,2025-02-18,StepFun,Unreleased,China
BlueLM 130B,130.0,1000.0,7.800e+23,2023-11-02,vivo AI lab,Unreleased,China
GLM-130B,130.0,152.0,3.549e+23,2022-08-04,Tsinghua University,Open weights (non-commercial),China
DBRX,132.0,12000.0,2.600e+24,2024-03-27,Databricks,Open weights (restricted use),United States of America
Pangu Ultra,135.0,13200.0,1.069e+25,2025-04-10,Huawei,Hosted access (no API),China
MEB,135.0,500.0,,2021-09-04,Microsoft,Hosted access (no API),United States of America
