domain,indicator,dimension,rho_with_loo_consensus,trust,w_base,w_adapted
github,fineweb_edu,D1语义价值,0.43865327329625325,0.7193266366481266,0.04354301090133761,0.047819341938334765
github,qurater,D1语义价值,0.5907985954191098,0.795399297709555,0.04459028989978848,0.05414825876357813
github,modernbert_reasoning,D1语义价值,0.6141138877532323,0.8070569438766162,0.05826662502647861,0.07179315486288515
github,modernbert_professionalism,D1语义价值,0.37047619459565173,0.6852380972978258,0.055648487701439285,0.05821754178520999
github,fluency_en,D2语言规范,0.27801377601584776,0.6390068880079238,0.05186435479181916,0.05059801921421481
github,modernbert_readability,D2语言规范,0.5320898096674388,0.7660449048337195,0.0479350748996771,0.05606174803780699
github,modernbert_cleanliness,D2语言规范,0.44978183614032585,0.7248909180701629,0.05178389452780364,0.057309466379580246
github,ad_en,D2语言规范,-0.056041006301174444,0.47197949684941276,0.04382631882584098,0.03158036340962355
github,dsir_books,D3参考域相似,0.76948239625282,0.88474119812641,0.041016551260437975,0.055403141199446955
github,dsir_wiki,D3参考域相似,0.7689784006898559,0.884489200344928,0.04081094504660123,0.05510971725009519
github,dsir_math,D3参考域相似,0.7834267323547641,0.8917133661773821,0.039568592248633634,0.05386849875265044
github,rps_doc_word_count,D4统计启发式,0.41879559564534585,0.7093977978226729,0.04108230734687401,0.0444942263549946
github,rps_doc_num_sentences,D4统计启发式,0.24439352021793334,0.6221967601089666,0.03458911613098821,0.03285687127909211
github,rps_doc_unigram_entropy,D4统计启发式,0.5606935419551766,0.7803467709775883,0.04811141132599499,0.057318488721476685
github,rps_doc_frac_unique_words,D4统计启发式,0.1446532399536132,0.5723266199768066,0.04432226251394857,0.03872798170443984
github,rps_doc_frac_no_alph_words,D4统计启发式,-0.0490898033779639,0.47545509831101807,0.03809107095377643,0.027649780537660446
github,rps_doc_frac_chars_top_2gram,D4统计启发式,0.013179816107258048,0.506589908053629,0.03981398942754595,0.03079294506301805
github,rps_doc_frac_chars_top_3gram,D4统计启发式,-0.126383270691568,0.436808364654216,0.04093285203527506,0.02729744178265172
github,rps_lines_uppercase_letter_fraction,D4统计启发式,-0.11770709343520668,0.44114645328239666,0.05024850514900862,0.03384269460493685
github,rps_lines_ending_with_terminal_punctution_mark,D4统计启发式,0.019956455347234937,0.5099782276736174,0.06449787859186107,0.05021761263219912
github,rps_lines_numerical_chars_fraction,D4统计启发式,-0.11274383344104447,0.4436280832794778,0.04425384617782965,0.02997291963933792
github,rps_doc_mean_word_length,D4统计启发式,0.29947415139759115,0.6497370756987956,0.03520261521703959,0.03491978608676646
arxiv,fineweb_edu,D1语义价值,0.15840157102758612,0.5792007855137931,0.04354301090133761,0.04399654459354875
arxiv,qurater,D1语义价值,0.45338160034562897,0.7266908001728145,0.04459028989978848,0.05652764969196282
arxiv,modernbert_reasoning,D1语义价值,0.27478696598397545,0.6373934829919877,0.05826662502647861,0.06478857869512583
arxiv,modernbert_professionalism,D1语义价值,-0.14253169525027576,0.4287341523748621,0.055648487701439285,0.04162099107811242
arxiv,fluency_en,D2语言规范,0.3558169422397622,0.6779084711198811,0.05186435479181916,0.06133537305895929
