train_domain,arxiv,dm_mathematics,freelaw,github,gutenberg_pg_19,hackernews,pile_cc,pubmed_abstracts,pubmed_central,stackexchange,ubuntu_irc,uspto_backgrounds,wikipedia_en
arxiv,-0.9403842851438808,-0.010173757897528128,0.05429845147432487,0.10279553209349591,0.013480629120686793,0.13092525055680196,0.1409098492602017,-0.005848488774117726,-0.11521949146341069,0.014655552014383766,-0.045995614135344635,0.02456085694365165,0.03971903065001798
dm_mathematics,0.00010323691190812736,-0.9448045536094849,-0.09711487794660847,-0.10167469730114401,-0.08426079521213549,-0.12790079630661805,-0.06300145996349416,0.006032410708323943,-0.022699594162985982,-0.08421560542835153,-0.1805733181483371,-0.061021759822640555,-0.06318741875994406
enron_emails,-0.051729844011316264,-0.08162992074110385,-0.007529688002644295,-0.021181413301461824,-0.1221043265999708,-0.11518512295922227,-0.10141744915994129,-0.07374939466666777,-0.03093164295235282,0.0048220647137834334,-0.21277311580235556,-0.029827384474217834,-0.0878057154837613
europarl,-0.04018326914671411,-0.06820732804727625,-0.05478088571584824,-0.07117299377806202,-0.12409369713813877,-0.0541856254369944,-0.09165203600319152,-0.07213140662092515,-0.09112602784991537,-0.06033977645480274,-0.25562971183010985,-0.14305679637807173,-0.09302803098200864
freelaw,0.05300255171347758,-0.07698816801564333,-0.9417892898152298,0.12859096906647918,-0.20302263368342136,-0.11076822992364663,-0.04582491154137973,0.05084361036160983,-0.012725381503686071,0.14378799973539125,-0.017469003917507383,-0.02818748413179356,-0.016154428732058617
github,0.11885837119765295,-0.1561170645168206,0.12392493586258373,-0.8749474919417601,0.08368439659719208,-0.0008805672781827945,0.15986984261959494,0.12293711882943162,0.08289273009964683,-0.3182169497318301,-0.16750723620571756,0.1282049717427822,0.14365003739682647
gutenberg_pg_19,-0.08091237855220373,-0.04619320651589643,-0.09632626129662657,-0.005883888404167302,-0.7998302842081784,-0.15130812585133224,-0.11652767551103783,-0.025808238482661422,0.015857119773491545,-0.010055497960915476,-0.11472062142740627,0.0014749893904660559,-0.08434246441208057
hackernews,0.022532489968761723,-0.154356981628027,-0.1289869294748,-0.10191552935900067,-0.15440968038560599,-0.805017711619112,-0.09395613141269998,-0.05649219786994025,-0.024396768952472704,-0.12710669582136327,-0.15929746597731315,-0.06938091189671906,-0.043965558150967754
nih_exporter,-0.03675992701031214,-0.07356395540850205,-0.06899111489030532,-0.03275193308148782,-0.12865416334350227,-0.17568637498019746,-0.12604311202075447,-0.12657267749982468,-0.06746136979982852,-0.0425367603336105,-0.11004522144591868,-0.15236615905534992,-0.10738513535969996
philpapers,-0.03472529903465182,-0.15663721699741737,-0.09306211375625652,-0.10287854889067367,-0.1435561643984557,-0.14513438545023485,-0.06890926759324065,0.03659286145272217,-0.049859112689271616,-0.09450897181142329,-0.23919059347210625,-0.06733371816034887,-0.0894136905141961
pile_cc,0.15692217778639597,0.008563113729981874,-0.12644376203049507,0.0457425504283347,-0.3997264392367271,-0.43824212449758493,-0.8433028523910692,0.017599360246972864,0.1598641292503163,0.040293176643999305,-0.17351965780960243,-0.18008799290334856,-0.346190171550171
pubmed_abstracts,-0.04945898425355265,-0.04170910380740463,0.05293083743024137,-0.023367718524225343,-0.052713457424855815,-0.07341952328783441,-0.013025711436214043,-0.7812569974386485,-0.22236499756591574,-0.049410667181496254,-0.0904171602327473,-0.2190443225148764,0.00699539438394941
pubmed_central,-0.1274448799476982,-0.03977901503883413,0.04983731422209303,0.09761527839588952,0.19477700999959643,0.16761776098894268,0.19782975495667818,-0.4222320641084449,-0.953740153141481,0.06539531609324048,0.004568392126518401,-0.04440078428508045,0.04669309802415214
stackexchange,-0.23949312219685565,-0.24069329561431443,0.09639850839537147,-0.3359226755072217,0.05033438547361595,-0.1755201766527351,0.034516426378022116,-0.006695583296173729,-0.05872134173116342,-0.866057372034408,-0.13459290633962326,0.0314965610172118,0.06398936485471772
ubuntu_irc,-0.06939012679715134,-0.18276149542197798,-0.0534218735280561,-0.11106835960095568,-0.10326409898101335,-0.15654221307260793,-0.1716797768743563,-0.06361845693706668,-0.06910594230479562,-0.07633788031735379,-0.9323219110142333,-0.09589921445183354,-0.10537376156598526
uspto_backgrounds,0.042516650891574116,-0.07610294083395214,-0.027882240744787304,0.026560456795597136,-0.011348995551835534,-0.042825263075936315,-0.07772644086440464,-0.15924069363348636,-0.03695654049022911,0.032653094460480155,-0.10406363053682192,-0.9106671164174325,-0.08793202549622395
wikipedia_en,-0.0262718372606809,-0.07801985949174034,-0.06027070724925809,0.05863615064008172,-0.13452588241880792,-0.052975732218537616,-0.2732977262777311,-0.009677953640176064,-0.06385142010874327,0.04783077620808883,-0.14140938494242145,-0.11359375094428353,-0.8549654392720133
