配方域,迁移法Q,岭回归Q,差异
arxiv,0.7568790621871924,0.7004066319000495,0.05647243028714288
freelaw,0.6129960871062571,0.37382507894786837,0.2391710081583887
nih_exporter,0.6052942754620853,0.6547749953994259,-0.0494807199373406
pubmed_central,0.6401915274026174,0.6537594934931626,-0.013567966090545225
wikipedia_en,0.36300221452585957,0.45522099749374284,-0.09221878296788327
dm_mathematics,0.6382024629451606,0.7370761751498833,-0.09887371220472274
github,0.41071380255007073,0.40401304221431034,0.006700760335760392
philpapers,0.6229234694655446,0.6179899411787401,0.004933528286804489
stackexchange,0.6160563529701564,0.5813255413317461,0.0347308116384103
enron_emails,0.5871109475560465,0.04843641510201657,0.53867453245403
gutenberg_pg_19,0.3659941002833515,0.4046458488517015,-0.03865174856835002
pile_cc,0.596662840483352,0.5636963112084324,0.03296652927491961
ubuntu_irc,0.6423828077071655,0.7595980878303149,-0.11721528012314941
europarl,0.6240646910028211,0.7052997910089854,-0.0812351000061643
hackernews,0.6120766765690769,0.6927221314800608,-0.08064545491098385
pubmed_abstracts,0.6044711138281349,0.6778024025516745,-0.07333128872353956
uspto_backgrounds,0.5976080661918177,0.6429522081631684,-0.04534414197135073
