g_form,L_ctx,wall,var,n_breaks,breakpoints_log10C,base_slope,slope_changes
exp,2048,D≤1.8e13,N,2,"[19.2, 25.2]",0.5025860056142869,"[-0.0944, 0.672]"
exp,2048,D≤1.8e13,D,2,"[19.2, 24.6]",0.42230803123834115,"[0.2307, -0.5677]"
exp,2048,D≤1.8e13,share_quality,2,"[18.0, 18.6]",-0.016796453165377742,"[0.718, -0.7602]"
exp,2048,无,N,2,"[19.8, 21.6]",0.5073333356732601,"[-0.1848, 0.1181]"
exp,2048,无,D,2,"[18.0, 18.6]",0.565479426175733,"[-0.7329, 0.7892]"
exp,2048,无,share_quality,2,"[18.0, 18.6]",-0.01678381752790247,"[0.7175, -0.7595]"
exp,131072,D≤1.8e13,N,2,"[18.0, 25.8]",0.5226273290158713,"[-0.1076, 0.6706]"
exp,131072,D≤1.8e13,D,2,"[18.6, 25.2]",0.41846418005515645,"[0.2167, -0.5075]"
exp,131072,D≤1.8e13,share_quality,2,"[17.4, 18.0]",-0.004364421340941511,"[0.6374, -0.6881]"
exp,131072,无,N,2,"[18.6, 21.0]",0.5327871699317234,"[-0.189, 0.1]"
exp,131072,无,D,2,"[18.6, 21.0]",0.37584923782616575,"[0.3674, -0.1798]"
exp,131072,无,share_quality,2,"[17.4, 18.0]",-0.004361144144473586,"[0.6373, -0.6879]"
filter,2048,D≤1.8e13,N,2,"[19.2, 25.2]",0.4891938446953402,"[-0.0683, 0.6227]"
filter,2048,D≤1.8e13,D,2,"[19.2, 25.2]",0.46540645102389067,"[0.1362, -0.6454]"
filter,2048,D≤1.8e13,share_quality,2,"[18.0, 18.6]",0.012668649083620323,"[0.4705, -0.5257]"
filter,2048,无,N,2,"[17.4, 18.6]",0.4445150358319534,"[0.1285, -0.1504]"
filter,2048,无,D,2,"[18.0, 18.6]",0.5344359846566643,"[-0.432, 0.4971]"
filter,2048,无,share_quality,2,"[18.0, 18.6]",0.012756163365301824,"[0.4667, -0.5212]"
filter,131072,D≤1.8e13,N,2,"[18.0, 25.8]",0.506342002088833,"[-0.0834, 0.6166]"
filter,131072,D≤1.8e13,D,2,"[18.0, 25.8]",0.4293085273677923,"[0.1676, -0.6545]"
filter,131072,D≤1.8e13,share_quality,2,"[16.8, 17.4]",-0.01756353379900442,"[0.5586, -0.577]"
filter,131072,无,N,2,"[18.0, 22.8]",0.5145044424163576,"[-0.1011, 0.0303]"
filter,131072,无,D,2,"[16.8, 17.4]",0.5646122590391103,"[-0.527, 0.5552]"
filter,131072,无,share_quality,2,"[16.8, 17.4]",-0.01750397795125431,"[0.5574, -0.5757]"
log,2048,D≤1.8e13,N,2,"[17.4, 24.6]",0.5585086896859554,"[-0.1569, 0.5049]"
log,2048,D≤1.8e13,D,2,"[17.4, 24.6]",0.3231969002609373,"[0.3096, -0.5671]"
log,2048,D≤1.8e13,share_quality,2,"[18.0, 21.0]",0.19273444555048458,"[-0.332, 0.1336]"
log,2048,无,N,2,"[18.0, 20.4]",0.551965417323963,"[-0.2204, 0.1152]"
log,2048,无,D,2,"[18.0, 20.4]",0.3330510027182447,"[0.4374, -0.2128]"
log,2048,无,share_quality,2,"[18.0, 21.0]",0.19274029295478673,"[-0.332, 0.1337]"
log,131072,D≤1.8e13,N,2,"[16.8, 25.8]",0.5410247401122413,"[-0.1211, 0.6804]"
log,131072,D≤1.8e13,D,2,"[16.8, 25.2]",0.3117555305030713,"[0.3056, -0.4998]"
log,131072,D≤1.8e13,share_quality,2,"[16.8, 19.8]",0.35222727582236474,"[-0.4981, 0.1371]"
log,131072,无,N,2,"[16.8, 19.8]",0.6328045653249146,"[-0.2859, 0.1017]"
log,131072,无,D,2,"[16.8, 19.8]",0.16395806936397073,"[0.578, -0.1878]"
log,131072,无,share_quality,2,"[16.8, 19.8]",0.3522296654503552,"[-0.4981, 0.1371]"
power,2048,D≤1.8e13,N,2,"[19.2, 25.2]",0.5065110249098884,"[-0.0998, 0.6728]"
power,2048,D≤1.8e13,D,2,"[19.2, 24.6]",0.4149966727113078,"[0.2407, -0.5684]"
power,2048,D≤1.8e13,share_quality,2,"[18.0, 19.2]",-0.00771463821380297,"[0.3509, -0.4101]"
power,2048,无,N,2,"[19.8, 22.2]",0.50867522796563,"[-0.1634, 0.0997]"
power,2048,无,D,2,"[18.0, 19.2]",0.5503879864364101,"[-0.3436, 0.4247]"
power,2048,无,share_quality,2,"[18.0, 19.2]",-0.007689736391005324,"[0.3506, -0.4096]"
power,131072,D≤1.8e13,N,2,"[18.6, 25.8]",0.507665585166948,"[-0.0969, 0.6833]"
power,131072,D≤1.8e13,D,2,"[18.6, 25.2]",0.4100341030991796,"[0.2271, -0.509]"
power,131072,D≤1.8e13,share_quality,2,"[17.4, 18.0]",-0.024094132481540624,"[0.7228, -0.7543]"
power,131072,无,N,2,"[18.6, 21.6]",0.5330100160987435,"[-0.1722, 0.0864]"
power,131072,无,D,2,"[18.6, 21.6]",0.3752464093066893,"[0.3373, -0.1553]"
power,131072,无,share_quality,2,"[17.4, 18.0]",-0.024090393504999984,"[0.7227, -0.7541]"
